Episode,Score,Average_Score
1,-108.60446007899729,-108.60446007899729
2,-118.77755424797517,-113.69100716348623
3,-150.43716064247943,-125.9397249898173
4,-47.24444840870786,-106.26590584453993
5,-383.4224269634383,-161.6972100683196
6,-105.88320391489366,-152.3948757094153
7,21.964367952934552,-127.48641232907958
8,-89.38841341855714,-122.72416246526429
9,-122.82777417999071,-122.73567487801168
10,-376.8546019004068,-148.14756758025118
11,-187.05052426954998,-151.68420000655107
12,-161.39719894028744,-152.49361658436243
13,-119.68048582821687,-149.96952960312046
14,-129.86848646340536,-148.5337408074265
15,-319.12262774495565,-159.90633326992844
16,-97.97303802006141,-156.0355023168118
17,-79.36212084865718,-151.52530340692033
18,-77.94519003254311,-147.43751933056603
19,-97.30041451979041,-144.79872434052524
20,-67.92141682894047,-140.954858964946
21,-135.35779755494255,-140.6883322311363
22,-272.9819202737616,-146.70167714216473
23,-108.0879348850659,-145.02281878316043
24,-76.20190142642505,-142.15528055996313
25,-71.20192598284093,-139.3171463768782
26,-228.14296713918435,-142.73352409850537
27,-321.4896076502356,-149.35411978560649
28,-239.90790180785515,-152.58818342925824
29,-148.5067893551839,-152.44744570256603
30,-215.80025503913333,-154.55920601378494
31,-110.55475191720629,-153.13970749454046
32,-134.12619251287833,-152.54553515136354
33,41.36366531634479,-146.66949877355418
34,-106.97760971668512,-145.50209027188157
35,-165.7346254676841,-146.08016270604736
36,-151.05917036709894,-146.2184684744099
37,-119.95358583473998,-145.50860678144585
38,-147.99068527155802,-145.5739246364488
39,-101.30544591691337,-144.43883543851197
40,-318.03739095829195,-148.7787993265065
41,-117.79444913889621,-148.0230834682721
42,-440.176828718838,-154.979125021857
43,-130.4946567328132,-154.4097187825769
44,-155.72951266525325,-154.43971409809228
45,-90.76934331954979,-153.02481696968022
46,-342.80890690031026,-157.1505580551287
47,-156.8980205433039,-157.14518491657924
48,-133.52607635247188,-156.653120154827
49,-388.489437226344,-161.3844735644498
50,-242.90375680729682,-163.01485922930675
51,-138.79902303287446,-162.54003891172965
52,-128.19117306784023,-161.87948379934716
53,-94.11009348864636,-160.60081605763583
54,-425.31766257597303,-165.5029798820495
55,-373.4513089904382,-169.2838585931111
56,-185.4464809688585,-169.57247684982084
57,-96.9679667600909,-168.29871351491332
58,-127.25165712496084,-167.59100564612103
59,-285.8529961228767,-169.5954461626762
60,-148.60613246035464,-169.2456242676375
61,-115.82548673923063,-168.3698843081554
62,-241.79946673189403,-169.5542324117641
63,-100.48015758040756,-168.45781852555209
64,-415.6488609435133,-172.32017856333275
65,-96.60852293718808,-171.15538386139204
66,-118.61929993618539,-170.359382589798
67,-142.09581799452695,-169.9375383421074
68,-115.71585438665342,-169.14016063688013
69,-311.84945823448606,-171.20841132670049
70,-456.90361168330537,-175.28977133179484
71,-20.075871929598918,-173.103660072609
72,-138.98432197647747,-172.62978037682942
73,-173.94577062846162,-172.64780764055038
74,-197.4701497167468,-172.9832446956341
75,-112.26213906927836,-172.17362995394936
76,-122.87527567217008,-171.52496739761017
77,-455.0458531806731,-175.2070568233642
78,-107.96065677774284,-174.344923489446
79,-122.39865204936875,-173.6873757496982
80,-173.02636958222223,-173.6791131726048
81,-286.20486821384713,-175.06832002496577
82,-103.25877429745546,-174.1925938575571
83,-85.93639640012708,-173.12926617734712
84,-313.90554721350634,-174.80517428492044
85,-109.81629539431553,-174.04059923914863
86,-85.95926115726155,-173.01639763354527
87,-109.07724881407998,-172.28146488849396
88,-124.0496927618997,-171.73337656887358
89,-95.74977840860583,-170.87962827493797
90,-227.87108393560615,-171.51286667116761
91,-150.79230532293076,-171.2851681948134
92,-97.82840020023062,-170.48672506443748
93,-127.73946167128999,-170.02707707096278
94,-132.75827959394914,-169.63060050205837
95,-373.4570144883446,-171.77614170191404
96,-92.44393737872463,-170.94976457354747
97,-101.23094672270184,-170.23101387405424
98,-140.07030949227016,-169.92325158444422
99,-120.23952104626112,-169.42139572042214
100,-233.58992624892127,-170.06308102570713
101,-88.24018967270052,-169.85943832164415
102,-107.36884648627418,-169.74535124402712
103,-161.1708330645394,-169.8526879682477
104,-191.67445311559266,-171.29698801531657
105,-227.1441357633072,-169.73420510331525
106,-94.31093766446313,-169.618482440811
107,-126.97411986166068,-171.10786731895692
108,-125.55962450053434,-171.4695794297767
109,-124.1742549022685,-171.48304423699946
110,-134.25786961700004,-169.05707691416538
111,-131.76326376847555,-168.50420430915463
112,-138.93129484936827,-168.27954526824544
113,-154.41687511071615,-168.62690916107047
114,-350.1234428952191,-170.8294587253886
115,-147.59690176559087,-169.11420146559493
116,-147.1358675451036,-169.60582976084538
117,-152.77852108010308,-170.33999376315984
118,-117.58277663851496,-170.73636962921958
119,-117.21897078002715,-170.93555519182195
120,-185.9397047385429,-172.11573807091798
121,-205.94844926778137,-172.8216445880463
122,-180.42299389883559,-171.89605532429704
123,-6.006236998958329,-170.87523834543597
124,-353.3905561712121,-173.64712489288385
125,-88.7103529047863,-173.8222091621033
126,-256.01707117204194,-174.10095020243187
127,-103.12338254387285,-171.91728795136822
128,-114.21600200612623,-170.660368953351
129,-154.92365900052283,-170.72453764980438
130,-149.84598046227137,-170.06499490403579
131,-132.8589897818194,-170.2880372826819
132,-120.43832487742813,-170.1511586063274
133,-116.14136921747547,-171.72620895166557
134,-118.49674381295043,-171.8414002926282
135,-108.4671329820834,-171.2687253677722
136,-121.18382408386368,-170.96997190493985
137,-83.16954184049465,-170.6021314649974
138,-132.05690476968545,-170.44279365997866
139,-90.85788793604561,-170.33831808016998
140,-241.70090680335508,-169.57495323862062
141,-109.69781626114099,-169.49398690984307
142,-125.06132180489882,-166.3428318407037
143,-114.34021706613493,-166.18128744403694
144,-266.40664983513307,-167.28805881573572
145,-131.31978562071714,-167.6935632387474
146,-97.38691305476705,-165.23934330029198
147,-113.18323508341129,-164.80219544569303
148,-348.2497441167069,-166.94943212333538
149,-135.03047149895832,-164.41484246606151
150,-120.52143554334495,-163.191019253422
151,-260.5830676859795,-164.40885969995307
152,-117.74422177572109,-164.30439018703186
153,-180.34119314380345,-165.16670118358343
154,-127.34748017403548,-162.18699935956406
155,-159.89662287357098,-160.0514524983954
156,-107.82933880744872,-159.2752810767813
157,-139.88021705823894,-159.70440357976275
158,-191.78143942899868,-160.34970140280313
159,-148.05929377710834,-158.97176437934547
160,-91.24737913337444,-158.39817684607564
161,9.92562562673352,-157.140665722416
162,-209.35074182472113,-156.8161784733443
163,-97.97178914712877,-156.79109478901148
164,-275.16008829929575,-155.38620706256933
165,-322.5009913564549,-157.645131746762
166,-113.82615300453043,-157.59720027744544
167,-97.18469362388016,-157.14808903373898
168,-139.71778344455362,-157.38810832431798
169,-154.5821355762447,-155.81543509773556
170,-2.568613240933729,-151.27208511331185
171,-113.382857001687,-152.20515496403274
172,-90.48561034187887,-151.72016784768672
173,-137.70761699445433,-151.35778631134667
174,-227.42098627586722,-151.65729467693785
175,-98.89600526022573,-151.52363333884733
176,-140.41169769855085,-151.69899755911115
177,-129.98351167260967,-148.4483741440305
178,-102.4489461736625,-148.3932570379897
179,-149.12324206402417,-148.66050293813626
180,-157.53665906476743,-148.50560583296175
181,-209.17812435336202,-147.7353383943569
182,-128.55271726549705,-147.98827782403728
183,30.573112197904976,-146.82318273805697
184,-117.92305272518739,-144.86335779317378
185,-114.40832082115924,-144.90927804744223
186,-127.97585076353927,-145.329443943505
187,-202.82928484960388,-146.26696430386025
188,-160.22078125566426,-146.62867518879787
189,-250.16520058017613,-148.1728294105136
190,-132.14920848887158,-147.21561065604624
191,-266.035704816572,-148.36804465098265
192,-118.00078430955877,-148.56976849207595
193,-91.09605424420332,-148.20333441780505
194,-179.57354498094082,-148.671487071675
195,-139.45178119317794,-146.33143473872332
196,-149.02495611495416,-146.8972449260856
197,-113.99401577381894,-147.02487561659677
198,-179.68876747034795,-147.42106019637757
199,-179.61553611769386,-148.01482034709187
200,-146.4793813166565,-147.14371489776923
201,-184.68429683792044,-148.10815596942143
202,-99.36553007436135,-148.0281228053023
203,-142.27515935393427,-147.83916606819628
204,-87.34751006574028,-146.79589663769772
205,-243.12541036215475,-146.95570938368618
206,-131.14553922087063,-147.32405539925026
207,-110.38678674851704,-147.15818206811883
208,-135.61417601857198,-147.25872758329922
209,-299.7424280645413,-149.01440931492195
210,-96.77436158527244,-148.63957423460465
211,-125.97425484055138,-148.58168414532543
