Episode,Score,Average_Score
1,-160.39537530779722,-160.39537530779722
2,-157.075780262073,-158.73557778493512
3,-114.34466394545343,-143.93860650510788
4,-161.7961844202666,-148.40300098389756
5,-208.20888393720102,-160.36417757455825
6,-157.79557414667607,-159.93607700324455
7,-282.4466707111591,-177.4375903900895
8,-198.84910636210884,-180.11402988659194
9,-330.8533499816063,-196.8628432304824
10,-213.25804533717223,-198.5023634411514
11,-230.12120231031528,-201.37680333834808
12,-201.37764812051012,-201.3768737368616
13,-96.71528996761852,-193.32598267768904
14,-75.93415182353056,-184.940851902392
15,-282.3035293588374,-191.431697066155
16,-112.88081490905043,-186.522266931336
17,-306.3785825448481,-193.57263843801317
18,-122.93763971291317,-189.64847184217427
19,-102.06788729684436,-185.03896739242006
20,-151.11732250351767,-183.34288514797495
21,-170.68710039798384,-182.74022873130872
22,-402.6225937777886,-192.73488168796692
23,-139.24630377341754,-190.40929134385607
24,-118.6491101358989,-187.41928379352453
25,-111.48889030276305,-184.38206805389407
26,-180.027779436439,-184.2145954147612
27,-27.028506957811032,-178.39288843487415
28,-111.12641777566685,-175.9905144827596
29,-206.50502585491208,-177.0427390128338
30,-120.53544112769214,-175.15916241666244
31,-121.98788891237474,-173.44396004555637
32,-57.358032005997785,-169.81627479432018
33,-186.69697729395722,-170.32781123370313
34,-111.60478192989575,-168.6006633130029
35,-128.7745208319788,-167.46277352783076
36,-125.55196990018754,-166.29858453817403
37,-332.4843400038336,-170.79009144265132
38,-116.96582606871192,-169.373663406495
39,-84.7963424240074,-167.20501415053377
40,13.436223612290306,-162.68898320646318
41,-94.30842126235059,-161.02116462246042
42,-257.2250596292483,-163.31173355119347
43,-77.36737989259082,-161.3130276521562
44,-206.4647964062259,-162.3392042147487
45,-136.2140341390443,-161.75864487973303
46,-131.45158969329077,-161.0997958539408
47,-123.00249987135506,-160.2892150883539
48,-110.19012533793294,-159.2454840518868
49,-322.7434789421199,-162.58217782515683
50,-104.10866233413911,-161.41270751533648
51,-137.6008634857687,-160.94580861279593
52,-192.57057062603667,-161.55397711305054
53,-80.31723474002966,-160.0212083890313
54,-88.79388455673048,-158.7021838736183
55,-85.75755279075365,-157.37591785392985
56,-128.11931908795813,-156.85347859025183
57,-133.201695592677,-156.43853502889087
58,-314.3527533780274,-159.16119396594493
59,-357.1799779495632,-162.51744454193846
60,-117.4028231178536,-161.7655341848704
61,-217.25556349243521,-162.67520679646984
62,-154.73616951236528,-162.54715780801655
63,-98.11107949942942,-161.52436291422944
64,-106.1223564144882,-160.65870656267094
65,-99.04029760339863,-159.7107310402206
66,-96.41224887986463,-158.75166312870005
67,-86.07132457825504,-157.66688195630533
68,-92.8747316416229,-156.71405621638354
69,-191.8877343490073,-157.22381966758098
70,-121.07979338396953,-156.70747643495798
71,-223.33758454644115,-157.64592866188028
72,-99.94627536856738,-156.84454458836206
73,-64.78183777876036,-155.58341161836753
74,-146.03774886128164,-155.4544161757042
75,-126.11995189713224,-155.06328998532322
76,-131.20456425552544,-154.74935938361537
77,-134.79602294531026,-154.49022514415688
78,-129.71802096598992,-154.17263278289832
79,-176.62106137235588,-154.4567901068155
80,-146.21874280869162,-154.35381451558894
81,-82.28164481637306,-153.46403464275912
82,-146.71827239588842,-153.3817692495046
83,-135.50222704410885,-153.16635307835526
84,-117.72752701553999,-152.7444622918932
85,-133.1412008304735,-152.51383568646474
86,-150.2435793611021,-152.48743735710005
87,-142.2144059462295,-152.36935653628544
88,-151.76200801280197,-152.36245484851858
89,-107.937078356127,-151.86329331489617
90,-132.19218411736375,-151.6447254349236
91,-94.37544936220328,-151.01539273082778
92,-153.90530228502158,-151.04680479119946
93,-106.53797835268082,-150.56821525960248
94,-114.45812579148807,-150.18406537164384
95,-246.9090668057806,-151.20222328147685
96,-129.47176010701958,-150.9758642900762
97,-280.05594159185625,-152.3065867364863
98,-130.44885625605252,-152.08354867035945
99,-209.9750895324796,-152.66831170937076
100,-126.86513091634716,-152.4102799014405
101,-99.65110971705067,-151.80283724553306
102,-110.70681234480446,-151.33914756636037
103,-135.4816077899845,-151.5505170048057
104,-61.24577859067075,-150.54501294650973
105,-110.40642300487502,-149.56698833718647
106,-183.27501425929043,-149.8217827383126
107,-345.14143661988305,-150.44873039739986
108,-194.71608049078807,-150.40740013868665
109,-189.68179364626826,-148.99568457533326
110,19.07368186710471,-146.6723673032905
111,-169.9676545026894,-146.0708318252142
112,-131.3393490307476,-145.3704488343166
113,-118.87881133396773,-145.59208404798008
114,-214.93642001574486,-146.98210672990226
115,-166.1061132449414,-145.82013256876328
116,-165.12825512215218,-146.34260697089428
117,-143.7916577853444,-144.71673772329927
118,-111.17937734795287,-144.59915509964966
119,-88.91179518432263,-144.46759417852445
120,-191.54276262176063,-144.87184857970686
121,-193.81599501369917,-145.10313752586404
122,-11.705407092230502,-141.19396565900846
123,-211.12375235159362,-141.91274014479023
124,-100.91844281003645,-141.7354334715316
125,-235.53244148293348,-142.9758689833333
126,-158.54252451601525,-142.76101643412906
127,-161.69813563007375,-144.10771272085168
128,-170.29741306119166,-144.6994226737069
129,-137.47181707408728,-144.00909058589866
130,-11.802429392459885,-142.92176046854632
131,-131.79926725739824,-143.01987425199658
132,-176.43678520063307,-144.21066178394292
133,-123.6848921410557,-143.58054093241392
134,-98.61660564237354,-143.4506591695387
135,-141.3249208885577,-143.57616317010448
136,-160.11973564291281,-143.92184082753175
137,-121.03023081012539,-141.80729973559465
