Episode,Score,Average_Score
1,-103.93198620168548,-103.93198620168548
2,-262.76084642452906,-183.34641631310728
3,-409.14402568413834,-258.61228610345097
4,-182.2063851092127,-239.51081085489142
5,-120.32187406576463,-215.67302349706605
6,-140.21673537585053,-203.09697547686346
7,-185.1463158056465,-200.53259552383247
8,-139.89110834772816,-192.95240962681945
9,-163.12666102700297,-189.63843756017317
10,-304.336639078247,-201.10825771198057
11,-146.52876744762435,-196.14648586976637
12,-178.23217548380512,-194.65362667093623
13,-234.0868535152999,-197.68695181281038
14,-86.75125560435171,-189.76297351220617
15,-442.0163782585775,-206.57986716196424
16,-95.08988233373805,-199.61174311020014
17,-89.80192372307368,-193.15234196978093
18,-33.299292963836535,-184.27161702500626
19,-269.3528318100594,-188.7495756979038
20,-236.32757853307916,-191.12847583966257
21,-104.44139880766245,-187.00051979051972
22,-91.18769567569649,-182.6453914216641
23,-224.19969443750307,-184.4521002484397
24,-308.4919233358007,-189.62042621041306
25,-258.53084736344397,-192.3768430565343
26,-226.0024040982962,-193.67013386583284
27,-165.80509341306308,-192.63809533054507
28,-129.38266092776465,-190.37897267330294
29,-220.16697889218977,-191.40614530154042
30,-140.45013262028402,-189.70761154549854
31,-248.40627252817578,-191.60111673848812
32,-296.1426224446617,-194.86803879180601
33,-29.782685673930843,-189.8654523336886
34,-122.76825232157645,-187.89200527450882
35,-186.35077380176446,-187.84797008957327
36,-80.09907137703576,-184.85494512533612
37,-281.77778304129663,-187.47448128522694
38,-228.2169456813208,-188.54665140091365
39,-184.35699148834675,-188.43922422366833
40,-247.58800992809216,-189.9179438662789
41,-152.68923421055342,-189.00992655760265
42,-275.276042559315,-191.06388170050056
43,-77.55054059178057,-188.4240365584373
44,-198.97740340924037,-188.66388580504645
45,-265.3910296398356,-190.36893344581952
46,-172.51189338036437,-189.98073692265746
47,-395.8691319496461,-194.36134107216787
48,-209.37360674373554,-194.67409660699226
49,-203.70436329408267,-194.85838776387163
50,-245.57109608144998,-195.8726419302232
51,-7.334012473430505,-192.1758060585214
52,-168.84741667802334,-191.72718318581954
53,-224.8268606231627,-192.35170540161846
54,-270.6665466044043,-193.8019802387071
55,-310.9025955232254,-195.93108233478924
56,-243.03347884845536,-196.77219655824754
57,-111.95040576798237,-195.28409496543588
58,-122.12960319487495,-194.02281062456413
59,-21.157911832857593,-191.09289708572166
60,-34.568611619134046,-188.48415899461185
61,-148.02414395330408,-187.82088005950843
62,-229.5157692660416,-188.49337827251705
63,-237.69351675942053,-189.27433285167422
64,-180.20669028524983,-189.13265093657384
65,-268.6597761848898,-190.35614517116332
66,-242.10746913392086,-191.140256140296
67,-178.71065140471802,-190.95473965170527
68,-217.83404529297326,-191.3500235581945
69,-253.6894551394048,-192.2534935811106
70,-229.97682267167946,-192.79239828240443
71,-142.97819832114942,-192.0907898322459
72,-157.37688215420405,-191.60865222560648
73,28.18431666646069,-188.5977896380439
74,-229.66511517625457,-189.15275349666837
75,-130.69056000529974,-188.37325758345014
76,-292.5442245775049,-189.74392820179295
77,-75.9401417643614,-188.26595694935878
78,-165.52483880550398,-187.9744041526427
79,-242.05210072529954,-188.65893195735987
80,-34.06290282114088,-186.72648159315713
81,-106.40530425113317,-185.7348621197988
82,-324.99692034720226,-187.43317990305982
83,-168.63205930882455,-187.2066603778281
84,-241.64113666166136,-187.85468985739752
85,-345.1391682765485,-189.70509548585812
86,-166.93589756750447,-189.44033737052843
87,-352.47153023276024,-191.31425912756555
88,-333.17486507953,-192.92631146792883
89,5.7509411436519144,-190.69398278689982
90,-207.075489960573,-190.875999533274
91,67.46297977648933,-188.03710965074913
92,-204.25846889400304,-188.21342877295842
93,-238.24465987792198,-188.7513989998935
94,-306.2918426789388,-190.00182925179826
95,-63.97970990637296,-188.67528062710954
96,-204.646673102877,-188.8416492987321
97,-164.2384562923861,-188.58800813371823
98,-248.18747443023102,-189.1961659530704
99,-189.1434739098977,-189.19563371021007
100,-175.6944663763743,-189.0606220368717
101,-184.36573075538485,-189.8649594824087
102,-131.24463070310912,-188.54979732519453
103,-220.95754730161755,-186.6679325413693
104,-128.68703465573464,-186.13273903683455
105,-203.13605454837534,-186.96088084166067
106,-151.25214272770955,-187.07123491517928
107,-98.18066468368787,-186.20157840395964
108,-168.26712504067967,-186.48533857088918
109,-225.17953195269,-187.10586728014601
110,-201.33169746014403,-186.07581786396503
111,-152.05005173566553,-186.13103070684537
112,-150.19933033063188,-185.8507022553137
113,-155.63155609543804,-185.06614928111512
114,-25.118465750866378,-184.44982138258024
115,-204.56260520528218,-182.07528365204726
116,-357.52603102510693,-184.69964513896096
117,-27.38221668190984,-184.0754480685493
118,-140.1212513640114,-185.14366765255104
119,-392.6770236122188,-186.37690957057256
120,-209.2785757381082,-186.10641954262294
121,-186.82797319250045,-186.9302852864713
122,-21.754620133624655,-186.2359545310506
123,-99.81430607219728,-184.99210064739754
124,-191.7963024349316,-183.8251444383888
125,-180.9979436829848,-183.04981540158423
126,-210.59939728474956,-182.89578533344874
127,-179.3108109016466,-183.03084250833462
128,-177.47994517787953,-183.51181535083575
129,-144.18081195491249,-182.751953681463
130,-278.7217772851825,-184.13467012811194
131,-240.29872581723922,-184.05359466100262
132,-75.33234326856062,-181.84549186924158
133,-186.04917710772975,-183.40815678357959
134,-125.00476262408014,-183.4305218866046
135,-156.5779646442836,-183.13279379502978
136,-54.00805503904306,-182.87188363164987
137,-144.53963396744936,-181.49950214091143
138,-213.86528222797722,-181.35598550637795
139,-137.89248209732062,-180.89134041246766
140,-116.86948583663161,-179.5841551715531
141,-196.48650362881375,-180.02212786573568
142,-207.4521310554372,-179.3438887506969
143,-113.12348607172342,-179.69961820549634
144,-172.09169131556212,-179.4307610845596
145,-132.2297787034841,-178.0991485751961
146,-174.90010398622962,-178.12303068125476
147,-139.3140109078088,-175.55747947083637
148,-151.71372351299908,-174.980880638529
149,-135.8572128544082,-174.30240913413226
150,-184.35975829399428,-173.69029575625765
151,-230.9492621150512,-175.9264482526739
152,-167.60392391652033,-175.91401332505887
153,-174.30847563646535,-175.40882947519194
154,-155.3628506598041,-174.2557925157459
155,-127.4581031000919,-172.42134759151458
156,-170.6219748738711,-171.69723255176868
157,-10.3468592221857,-170.6811970863107
158,-190.7512239315714,-171.3674132936777
159,-333.06040239032643,-174.48643819925238
160,-137.98266342427715,-175.52057871730383
161,-151.90733990053104,-175.5594106767761
162,-30.50572599215168,-173.56931024403718
163,-170.1566841972962,-172.89394191841595
164,-218.18076192074307,-173.2736826347709
165,-148.8127300466276,-172.07521217338825
166,-258.437707943203,-172.23851456148103
167,-135.76474052580915,-171.80905545269198
168,-187.23194032306137,-171.50303440299285
169,-194.3509713716514,-170.90964956531533
170,-128.05745880452852,-169.8904559266438
171,-326.79832566057576,-171.72865720003807
172,-364.39557294410986,-173.79884410793716
173,-164.2716264211274,-175.723403538813
174,-132.68991567509354,-174.75365154380145
175,-147.53766653567794,-174.9221226091052
176,-191.63068136880693,-173.9129871770182
177,-228.11201105291525,-175.43470586990372
178,-173.09017307761076,-175.51035921262482
179,1.6527710847844332,-173.07331049452395
180,-115.13888550187522,-173.8840703213313
181,-160.4299850739539,-174.42431712955954
182,-192.0082841034536,-173.09443076712208
183,-155.95483129259821,-172.96765848695978
184,-200.21655381490604,-172.55341265849222
185,-163.7891962342402,-170.73991293806912
186,-164.33265938729141,-170.71388055626704
187,-162.6118551855165,-168.8152838057946
188,-152.09851261584657,-167.00452028115774
189,-178.75964904195297,-168.84962618301378
190,-164.01515981584836,-168.41902288156652
191,-199.84630382280798,-171.0921157175595
192,-220.7183914826711,-171.2567149434462
193,-60.79649878643198,-169.48223333253128
194,-185.9881501696321,-168.27919640743823
195,-177.89064914413035,-169.41830579981578
196,-177.0434880802872,-169.1422739495899
197,-25.752160456571787,-167.75741099123172
198,-99.79418216322482,-166.27347806856164
199,-128.6569549022651,-165.66861287848536
200,-102.42852971018871,-164.9359535118235
201,-21.102133997915857,-163.3033175442488
202,-158.06523533909706,-163.5715235906087
203,-35.86895359350969,-161.72063765352766
204,-128.85645272941113,-161.72233183426442
205,-194.45130680792843,-161.63548435685993
206,-137.85080158437393,-161.5014709454266
207,-173.89305504119923,-162.2585948490017
208,-151.49028336511765,-162.09082643224608
209,-154.11715946531092,-161.3802027073723
210,-200.03812160324526,-161.3672669488033
211,-155.52528683285468,-161.4020192997752
212,-192.53432135709673,-161.82536921003984
213,-273.90049915005693,-163.008058640586
214,-195.284153173805,-164.7097155148154
215,-154.43060399005793,-164.20839550266317
216,-150.0488647136931,-162.13362383954902
217,-12.793637335551153,-161.98773804608544
218,-162.0856546847149,-162.20738207929247
219,-169.0098338618566,-159.97071018178886
220,-145.6947323138952,-159.3348717475467
221,-108.76008420271069,-158.55419285764884
222,-173.66042457104695,-160.07325090202306
223,-127.23777526014696,-160.34748559390258
224,-330.1831258682973,-161.73135382823622
225,-173.84496369922687,-161.65982402839865
226,-201.11621658127478,-161.5649922213639
227,-177.79871609200887,-161.54987127326748
228,-164.13121774038353,-161.4163839988925
229,-154.2232017992103,-161.51680789733553
230,-200.71280496741372,-160.7367181741578
231,-184.56242869133018,-160.1793552028987
232,-170.00431601165604,-161.12607493032968
233,-173.3017710541011,-160.9986008697934
234,-165.75921288904212,-161.40614537244304
235,-39.70073816713436,-160.23737310767152
236,-129.90661091238672,-160.99635866640497
237,-4.500049112625888,-159.59596281785673
238,-152.354453239926,-158.98085452797622
239,-108.4280950266048,-158.68621065726904
240,-38.52566763639756,-157.90277247526674
241,-64.58748575263009,-156.5837822965049
242,-187.06867049284722,-156.379947690879
243,-181.91324321544596,-157.0678452623162
244,-170.97167224613324,-157.05664507162192
245,-190.88283951753976,-157.64317567976246
246,-141.192369035356,-157.30609833025375
247,-167.27420692760393,-157.58570029045168
248,-181.43071338686786,-157.88287018919038
249,-165.21793849255218,-158.1764774455718
250,-141.00844006060078,-157.7429642632379
251,-145.58955412340754,-156.88936718332144
252,-176.28161132720436,-156.9761440574283
253,-158.82243597154047,-156.82128366077902
254,-158.46852153917064,-156.85234036957272
255,-127.857175338312,-156.8563310919549
256,-13.734352332404711,-155.28745486654026
257,-168.7939025071696,-156.87192529939009
258,-82.00923225069536,-155.7845053825813
259,-167.20559887882445,-154.1259573474663
260,12.641181989520888,-152.61971889332833
261,-216.82000658573656,-153.26884556018038
262,-158.0871308462015,-154.54465960872088
263,-150.39091468321374,-154.34700191358004
264,-155.18622411478924,-153.71705653552053
265,-217.84853760940928,-154.4074146111483
266,-160.04109286511724,-153.42344846036747
267,-164.28840624308424,-153.70868511754023
268,-172.40619867804264,-153.56042770109005
269,-176.56241330704148,-153.38254212044393
270,-83.34815538057228,-152.93544908620436
271,-182.90431055956387,-151.49650893519427
272,-128.83753350229472,-149.14092854077612
273,-141.49916458796787,-148.91320392244452
274,-145.2722365765052,-149.03902713145862
275,-157.6956488916041,-149.1406069550179
276,-104.33183460001048,-148.2676184873299
277,-167.03451915983584,-147.65684356839913
278,-187.6970153296741,-147.80291199091974
279,-136.20748171929415,-149.1815145189605
280,-142.70914172391082,-149.4572170811809
281,-201.09745640711878,-149.86389179451254
282,-2.545507191721228,-147.9692640253952
283,-170.0134960091965,-148.1098506725612
284,-192.4491297590306,-148.03217643200244
285,-185.40508011632062,-148.24833527082325
286,-175.08904614625845,-148.35589913841292
287,-196.48135558535995,-148.69459414241138
288,-147.49260100458218,-148.64853502629873
289,-183.54919583874147,-148.6964304942666
290,-111.74265429667412,-148.17370543907484
291,-172.55026159948113,-147.90074501684157
