Episode,Score,Average_Score
1,-189.42285623572775,-189.42285623572775
2,-402.56242756881426,-295.992641902271
3,-110.3558962301442,-234.11372667822874
4,-283.5503533706882,-246.4728833513436
5,-106.3600671021745,-218.45032010150976
6,-103.63902566566311,-199.315104362202
7,-81.57454433621176,-182.49502435848913
8,-172.5700289734449,-181.25439993535858
9,-248.3840251151459,-188.71324717755718
10,-145.10662358069192,-184.35258481787065
11,-344.99278113420337,-198.95623902844636
12,-144.6486217920953,-194.43060425875044
13,-127.19131623703649,-189.2583513340032
14,-147.4396477222943,-186.271301076024
15,-413.3582198997665,-201.41042899760683
16,-90.51556222580876,-194.47949982436944
17,-215.0967601428942,-195.6922798431062
18,-43.176787652345794,-187.21919694361952
19,-268.63419170761574,-191.50419666804035
20,-114.51440812047565,-187.65470724066213
21,-199.91123621429955,-188.23835147750202
22,-90.50478735682282,-183.79591674474386
23,-91.70215234755135,-179.79184003182246
24,-220.03874384500793,-181.46879435737185
25,-131.700505193653,-179.4780627908231
26,-91.1903521508573,-176.0823816123629
27,-74.17073659805686,-172.30787624146265
28,-110.87000469520794,-170.11366654338212
29,-135.7923281398896,-168.9301721156755
30,-104.26492945563513,-166.77466402700747
31,-377.0852574811793,-173.55887671907755
32,-246.97159288088417,-175.853024099134
33,-140.84536990506876,-174.79218609325324
34,-299.1136242060817,-178.44869897892465
35,-111.37813693109302,-176.53239720612947
36,-131.09840243882635,-175.27034179592658
37,-233.80993101360912,-176.85249285586397
38,-137.36601439427454,-175.8133750016116
39,24.541016361424994,-170.6760829153799
40,-364.1590101418772,-175.51315609604234
41,-116.17466934405662,-174.06587593135976
42,-108.1712814978734,-172.49695701627675
43,-86.18460300530587,-170.48969296951
44,-177.72721885458844,-170.65418219417086
45,-103.80779794919567,-169.16870698872697
46,-8.175255926757018,-165.668849356945
47,-99.50525906574528,-164.26111339330245
48,-165.83602313414377,-164.29392401290332
49,-102.6520291142869,-163.03592615782952
50,-178.08273920500213,-163.33686241877297
51,-196.17362986803903,-163.9807206040527
52,-123.46207762539295,-163.20151593138615
53,-15.185298501891893,-160.40875711196173
54,-317.23788988620413,-163.31300031148476
55,-112.53192248575081,-162.3897079873805
56,-207.3075538738254,-163.19181237820985
57,-191.79860714520746,-163.6936859706133
58,-134.81697046219386,-163.19581156529574
59,-22.21644550819309,-160.80633078466687
60,-180.02677902714325,-161.12667158870815
61,-64.37718533991571,-159.5406144370886
62,-106.48719459493542,-158.6849141170539
63,-257.2487091931586,-160.24941880080158
64,-209.5224216183628,-161.019309469826
65,-98.5714181053353,-160.05857267960306
66,-161.51750673066803,-160.08067774098285
67,-77.1468122231667,-158.84285885265723
68,-253.82223847924286,-160.23961443540114
69,-102.72167489599101,-159.406021108743
70,-209.49909950357102,-160.12163651438343
71,-120.46984130405278,-159.56316052550554
72,-210.65602935108066,-160.2727837036385
73,-134.99026269383853,-159.92644779939465
74,-131.4892550239149,-159.54216141053683
75,-87.22281799962865,-158.57790349839138
76,-166.65158111907346,-158.68413609866352
77,-123.28697732307758,-158.2244327379416
78,-138.97894380508365,-157.97769570034086
79,-135.35062046710533,-157.69127702650243
80,-121.16998280929829,-157.2347608487874
81,-254.55371104326065,-158.43622936970684
82,-139.84230429149454,-158.2094741858262
83,-216.01164964349752,-158.90588593832825
84,-82.99227822204793,-158.00215251313443
85,-126.4350588723545,-157.63077494088995
86,-283.5937370772348,-159.09546054712652
87,-90.33028037566659,-158.30505617733962
88,-83.99077056718077,-157.46057565904238
89,-94.71977349958152,-156.75562282579
90,-209.37294917179258,-157.34025978519003
91,-248.90714664713903,-158.34648931114552
92,7.0549883784014185,-156.5486471623461
93,-171.7433158242419,-156.71203069634498
94,-90.14091580630978,-156.003827346451
95,-212.42180622964847,-156.5977008083794
96,-105.3565783397486,-156.06393911599778
97,-7.080298552058949,-154.528025295751
98,-160.48132640568383,-154.58877326626052
99,-107.81756707733236,-154.11633684010974
100,-249.89327156564894,-155.07410618736512
101,-139.65595709184237,-154.57643719592627
102,-97.18894660003866,-151.52270238623854
103,-95.3624919115393,-151.37276834305246
104,-195.73882136676164,-150.4946530230132
105,-107.70318290339597,-150.50808418102545
106,-145.73761070827635,-150.92907003145154
107,-144.64075985760093,-151.55973218666546
108,-142.04389259366968,-151.25447082286772
109,-319.34537753320285,-151.96408434704827
110,-146.04362039063028,-151.97345431514768
