Episode,Score,Average_Score
1,-126.24343823251579,-126.24343823251579
2,-82.50903332929309,-104.37623578090444
3,-231.80731084827124,-146.85326080336003
4,-94.83727005125593,-133.849263115334
5,-122.84042515360488,-131.64749552298818
6,-171.87656388095525,-138.35234024931603
7,-254.73985801521812,-154.97912850158772
8,-410.15793453871316,-186.87647925622844
9,-98.24843435506476,-177.02891871165468
10,-124.88009939851773,-171.814036780341
11,-319.7562613178326,-185.26332992011297
12,-234.24778181066847,-189.3453675776593
13,-79.95364053883416,-180.9306193439035
14,-122.47553132331424,-176.7552559138614
15,-278.8326895018082,-183.56041815305784
16,-274.9082068592345,-189.26965494719389
17,-190.8124055797005,-189.36040498440016
18,-94.48361995992498,-184.08947248304042
19,-100.28673927427853,-179.67880231415825
20,-169.9341279910413,-179.1915685980024
21,-199.8589358903193,-180.17572894525557
22,-342.51285252669715,-187.55468910804836
23,-230.6114554540588,-189.42672242744013
24,-221.8478662325818,-190.77760341932103
25,-234.15311342973894,-192.51262381973774
26,-259.6078268595526,-195.09320855203833
27,-56.828824965027245,-189.9723054562231
28,-91.5013768033013,-186.4554865757616
29,-197.26643293228892,-186.82827782943494
30,-31.438729307598877,-181.6486262120404
31,-294.32567715603034,-185.2833697908788
32,-315.2213121041731,-189.34393048816924
33,-19.938094837644,-184.2104203169412
34,-52.84957723632765,-180.34686610868786
35,-285.9325880934522,-183.36360102253826
36,-247.27866347242949,-185.13901942392414
37,-195.91458052936872,-185.43025080515235
38,-273.25328998805645,-187.74138341522877
39,-230.67760032737024,-188.8423120540016
40,-270.29157964961826,-190.87854374389207
41,-59.10547125446122,-187.66456636610107
42,-354.4670022378581,-191.63605293447623
43,-223.2865323558156,-192.37211059543762
44,-239.6814029435912,-193.4473217851684
45,-353.88726190383227,-197.0126537878054
46,-189.3422874423906,-196.84590669333983
47,-205.86140545974934,-197.0377258160294
48,-248.1250892095464,-198.10204588672764
49,-231.37295569671107,-198.78104404611508
50,-238.880593028734,-199.58303502576746
51,-97.78661627405475,-197.58702681494958
52,-296.20806656989316,-199.48358527177544
53,-207.88168897888926,-199.6420400587021
54,-69.3181860198342,-197.22863535427862
55,-308.23542565216036,-199.24694063242194
56,-202.29265395224832,-199.30132837027594
57,-150.84421580946884,-198.45120358850738
58,-205.54101607080452,-198.5734417347539
59,-346.31700179570095,-201.07756987138015
60,-45.91088193564933,-198.49145840578464
61,-253.8871298922099,-199.39958416785717
62,-76.61869040669862,-197.41924717170946
63,19.254024361466662,-193.97998889340508
64,-210.16551501605616,-194.2328877390715
65,-276.11287656089837,-195.49257987479191
66,-260.24250439908917,-196.47363933728127
67,-220.20207799003055,-196.82779513806858
68,-89.72119581594907,-195.25269808921388
69,-182.26995444973033,-195.06454238429382
70,-317.8705199854827,-196.81891349288225
71,-373.2386700907035,-199.3036987970769
72,-421.2253383065907,-202.38594379026458
73,-388.33990335126873,-204.93325830479887
74,-151.6498015258474,-204.2132115915698
75,-207.24674459638305,-204.25365869830065
76,-268.41959480356365,-205.09794733126463
77,-247.4395680747523,-205.6478385097515
78,-159.29104846912827,-205.05352068871784
79,-138.49748428809764,-204.2110392152923
80,-142.76371418420317,-203.4429476524037
81,-244.9739836529942,-203.95567649191713
82,-261.0683346824422,-204.6521723235089
83,-170.90940844901553,-204.24563299971982
84,-140.64758749134035,-203.48851341033438
85,-285.87851161252706,-204.45780750683073
86,-200.9740229822538,-204.41729838445193
87,-182.06445370319,-204.16036913524204
88,-260.93275399139293,-204.80550987224376
89,-337.9969331942722,-206.3020427185587
90,-338.26988220508616,-207.7683520461868
91,-202.77740590401186,-207.71350648418488
92,-243.34452297429806,-208.1008001416861
93,-240.25371774936266,-208.44653043854282
94,-144.19022611634514,-207.76295273298754
95,-200.27237434651192,-207.68410453944568
96,-227.28787288095543,-207.88831045966973
97,-352.285587462697,-209.37694218135044
98,-217.24219961839202,-209.45719991029983
99,-233.26537297619723,-209.69768650692507
100,-377.3677587727695,-211.3743872295835
101,-239.11655432033365,-212.5031183904617
102,-135.70060215557947,-213.03503407872452
103,-36.8099823774065,-211.08506079401593
104,-217.55884580526663,-212.31227655155598
105,-182.51680090374344,-212.9090403090574
106,-241.0793885540081,-213.6010685557879
107,-57.08877844692513,-211.624557760105
108,-207.9156584545358,-209.60213499926323
109,-239.5770259816773,-211.01542091552932
110,-98.70485558065388,-210.7536684773507
111,-286.5523098134257,-210.4216289623066
112,-178.8513943392275,-209.86766508759226
113,-117.56864470122542,-210.24381512921613
114,-237.91742790761086,-211.39823409505914
115,-144.2644558754579,-210.0525517587956
116,-210.25383531629495,-209.4060080433662
117,-278.8559063113508,-210.2864430506827
118,-219.6210616158491,-211.53781746724195
119,-113.92213379519114,-211.67417141245107
120,-175.1520158941729,-211.7263502914823
121,-51.17493238438166,-210.23951025642302
122,-225.02551591301108,-209.0646368902861
123,-173.34766342145883,-208.49199896996015
124,-151.8457157196628,-207.79197746483095
125,-151.5763371218249,-206.96620970175184
126,-315.8340927098511,-207.5284723602548
127,-86.80512593615688,-207.82823536996605
128,-147.77830264143049,-208.39100462834736
129,-255.39885283761703,-208.97232882740064
130,-153.94183486551782,-210.1973598829798
131,-118.79549432560054,-208.44205805467556
132,-210.58796024304235,-207.39572453606425
133,-180.36145342569188,-208.9999581219447
134,-8.331707800393659,-208.55477942758537
135,-14.126280700623383,-205.8367163536571
136,-87.20472302354386,-204.23597694916825
137,-156.64826217934024,-203.84331376566794
138,-125.08625695805935,-202.361643435368
139,-180.0710129647241,-201.85557756174148
140,-168.851973657153,-200.84118150181686
141,-194.18334194160144,-202.19196020868824
142,-150.7879506711976,-200.15516969302163
143,-98.73759067443658,-198.90968027620787
144,-125.09121142632168,-197.76377836103518
145,-227.6151544822971,-196.50105728681984
146,-128.6111739145128,-195.89374615154105
147,-60.80682354027391,-194.44320033234632
148,-134.68963768884677,-193.3088458171393
149,-158.29147381196543,-192.57803099829184
150,-162.84417824319905,-191.81766685043647
151,-340.04427658219095,-194.2402434535178
152,-186.63564652542772,-193.14451925307316
153,-342.7251328655966,-194.49295369194022
154,-140.1719303246192,-195.2014911349881
155,-197.37691029657657,-194.0929059814323
156,-156.27063664434013,-193.6326858083532
157,-181.23980979729248,-193.93664174823144
158,-201.33580878453347,-193.89458967536874
159,-263.37979297182653,-193.06521758712998
160,-201.13646307624643,-194.61747339853594
161,-242.05350733465997,-194.49913717296045
162,-133.52783683262038,-195.06822863721965
163,-65.83965606290953,-195.9191654414634
164,-134.96863332327194,-195.16719662453556
165,-238.56735207115395,-194.79174137963813
166,-132.483490013488,-193.5141512357821
167,-191.35620449620842,-193.2256925008439
168,-172.73837658044675,-194.05586430848894
169,-180.6943042405224,-194.0401078063968
170,-387.091223038938,-194.73231483693135
171,-113.60594309272015,-192.13598756695154
172,-229.18974589303048,-190.21563164281594
173,-201.17610879815527,-188.34399369728476
174,-152.18429937420234,-188.3493386757683
175,-215.9009835244244,-188.4358810650488
176,2.3548776782367753,-185.72813634023075
177,-265.03557221415645,-185.9040963816248
178,-113.41438098608859,-185.4453297067944
179,-182.80692720003796,-185.88842413591382
180,-171.54066900702287,-186.17619368414202
181,-143.08970791881563,-185.1573509268002
182,-311.7451504388517,-185.66411908436433
183,-219.59857409247098,-186.15101074079885
184,-133.06463322868177,-186.07518119817226
185,-146.5002912976546,-184.68139899502356
186,-247.06676371644423,-185.14232640236543
187,-197.1971291705132,-185.29365315703868
188,-248.1978618621319,-185.1663042357461
189,-157.91212916004312,-183.36545619540374
190,-195.37522593989365,-181.93650963275184
191,-195.37830761067087,-181.86251864981844
192,-207.50442807159305,-181.5041177007914
193,-180.86240290996093,-180.91020455239735
194,13.937915148355728,-179.32892313975034
195,-140.83375461580547,-178.7345369424433
196,-331.2259876053752,-179.7739180896875
197,-150.40182605236663,-177.7550804755842
198,-137.097894701769,-176.953637426418
199,-143.52765385359731,-176.05626023519198
200,-155.24318220033572,-173.8350144694676
201,-44.0239103115952,-171.88408802938025
202,-44.40196942792795,-170.97110170210374
203,-169.38914763589798,-172.29689335468865
204,-468.71134072461757,-174.80841830388218
205,-203.6367366215992,-175.01961766106072
206,-161.65872536432818,-174.22541102916392
207,-168.35798123041582,-175.33810305699882
208,-202.1443759654289,-175.28039023210775
209,-160.4308735806609,-174.4889287080976
210,-203.44169464665313,-175.53629709875756
211,-209.4840930485256,-174.7656149311086
212,-151.09817223345632,-174.4880827100509
213,-180.3718959027147,-175.11611522206576
214,-44.40875062268266,-173.18102844921646
215,-165.0586489508796,-173.38897037997066
216,-343.9230597990785,-174.72566262479853
217,4.631193822220624,-171.89079162346283
218,-186.1108474168759,-171.55568948147308
219,-141.4405612485386,-171.83087375600658
220,-264.5567967761702,-172.72492156482656
221,-95.0010066070848,-173.16318230705357
222,-193.8749166953645,-172.85167631487715
223,-111.52868916298436,-172.23348657229235
224,-8.233257747704073,-170.79736199257277
225,-201.33475518263427,-171.29494617318085
226,-278.68983755328026,-170.92350362161517
227,-132.77342539906226,-171.3831866162442
228,-129.8747977323577,-171.2041515671535
229,-86.82786218965305,-169.51844166067386
230,-117.49246446019691,-169.15394795662064
231,-162.28045612839338,-169.58879757464857
232,-120.62956270893048,-168.68921359930744
233,-160.89630848399148,-168.49456214989044
234,-161.5710262526709,-170.0269553344132
235,-11.580688229181135,-170.00149940969877
236,-182.49355264247296,-170.95438770588808
237,-219.91457940870168,-171.58705087818169
238,-155.15101672075707,-171.8876984758087
239,24.429152018574072,-169.84269682597568
240,-294.9280127204523,-171.10345721660866
241,-129.8075835903718,-170.4596996330964
242,-152.5984928477091,-170.47780505486153
243,-134.74949213301193,-170.83792406944724
244,-182.05379113509906,-171.40754986653502
245,-30.865885044717132,-169.44005717215921
246,-40.321412775855435,-168.55715956077267
247,-211.93935333396144,-170.06848485870952
248,-217.78311193480246,-170.89941960116906
249,-183.06002155739662,-171.14710507862338
250,-116.66374270488467,-170.68530072324026
251,-172.7413196390861,-169.0122711538092
252,-170.42266157256682,-168.85014130428058
253,-188.45517098195202,-167.30744168544413
254,-220.31476350255525,-168.10887001722352
255,-239.64652718161418,-168.53156618607395
256,-165.7702250904679,-168.6265620705352
257,-276.0583144333477,-169.57474711689574
258,-142.3376452785982,-168.9847654818364
259,-12.823242254242743,-166.47919997466056
260,-100.86473103338807,-165.47648265423192
261,-20.34029828072937,-163.25935056369264
262,-122.49718357816054,-163.14904403114804
263,-152.65658037618442,-164.01721327428078
264,-140.9804973078751,-164.0773319141268
265,-150.26628014932018,-163.1943211949085
266,-105.39289514653966,-162.92341524623902
267,-189.8457215091882,-162.9083104163688
268,-170.4361617713265,-162.8852882682776
269,-100.7018854555415,-162.08536408042778
270,-196.5787649585656,-160.18023949962404
271,-155.88289344859555,-160.6030090031828
272,-179.3558391091181,-160.10466993534365
273,-161.98364367512704,-159.7127452841134
274,-28.201155366581915,-158.47291384403718
275,-217.30022033329823,-158.48690621212592
276,-181.68851155343881,-160.32734010444267
277,-188.95772331507447,-159.5665616154519
278,-139.63299103946147,-159.8287477159856
279,-32.12014562135042,-158.32187990019872
280,-97.8320510145748,-157.58479372027426
281,-167.40062042319047,-157.827902845318
282,-179.14812658864923,-156.50193260681598
283,-130.8658536906009,-155.61460540279725
284,-78.69783400800333,-155.07093741059052
285,-133.65812291802138,-154.94251572679417
286,-191.27290824191724,-154.3845771720489
287,-103.64148229569622,-153.44902070330073
288,-161.46764178983105,-152.5817185025777
289,-161.95243127639776,-152.62212152374127
290,-194.26855385432475,-152.61105480288555
291,-211.64978084959426,-152.7737695352748
292,-256.4163922989986,-153.26288917754886
293,-170.02553935137652,-153.15452054196302
294,-141.32981601022124,-154.70719785354876
295,-148.21690324236317,-154.78102933981435
296,-159.39497741246598,-153.06271923788526
297,-206.7420786728602,-153.62612176409021
298,-134.70429001054123,-153.60218571717792
299,-107.8216431225793,-153.24512560986776
300,-173.3765847374363,-153.42645963523876
301,-305.7916047388461,-156.04413657951127
302,-148.01417061667019,-157.0802585913987
303,-171.87162858571986,-157.10508340089692
304,-288.17642970798414,-155.29973429073058
305,-187.29163100465328,-155.13628323456112
306,-113.7428158694699,-154.6571241396125
307,-159.9200671605924,-154.5727449989143
308,-176.75859731893303,-154.3188872124493
309,-161.17493627473976,-154.32632783939013
310,-146.88436006798415,-153.76075449360343
311,-199.85509717198914,-153.66446453483806
312,-180.91334329030997,-153.9626162454066
313,-171.26220487346046,-153.87151933511407
314,-160.64984793815825,-155.03393030826885
315,-127.00395365091529,-154.65338335526923
316,-101.58521543762164,-152.23000491165465
317,-126.93338024379254,-153.54565065231475
318,-46.70922752643047,-152.1516344534103
319,-157.69842087319054,-152.31421304965681
320,-165.13635473491632,-151.32000862924426
321,-119.14382146682907,-151.5614367778417
322,-114.66804640444724,-150.76936807493252
323,-166.6311246431281,-151.32039242973397
324,0.33710845219620467,-151.23468876773498
325,-171.0835392433807,-150.93217660834244
326,-76.06148909306286,-148.90589312374027
327,-5.137408439672171,-147.62953295414636
328,15.415603416485908,-146.1766289426579
329,-38.99919232843662,-145.69834224404573
330,-140.25734928670187,-145.9259910923108
331,-162.05129930003798,-145.92369952402723
332,-83.0196922838076,-145.54760081977602
333,-177.17484259880274,-145.71038616092412
334,-160.83140282086848,-145.7029899266061
335,-173.55995791117988,-147.3227826234261
336,-124.89134169781143,-146.74676051397947
337,-141.04288234641203,-145.9580435433566
338,-138.7444848851071,-145.79397822500007
339,-162.47570919335675,-147.66302683711942
340,-116.79108279271027,-145.88165753784196
341,-157.8938523597962,-146.16252022553618
342,-138.03486121581312,-146.01688390921726
343,-155.19747125685663,-146.22136370045573
344,-241.24919924940977,-146.8133177815988
345,-160.69638346976683,-148.11162276584935
346,-80.50223396249234,-148.5134309777157
347,-173.20438982306104,-148.12608134260668
348,-122.30699968743757,-147.17132022013303
349,-27.754292821651603,-145.6182629327756
350,-311.234790199944,-147.56397340772617
351,-123.66971505361104,-147.07325736187144
352,-172.49564399733075,-147.09398718611905
353,-56.05976125668947,-145.77003308886643
354,-156.21468225914896,-145.12903227643238
355,-327.1266282194291,-146.0038332868105
356,-52.28923467911275,-144.86902338269695
357,-172.97169740386056,-143.83815721240208
358,-281.26448927328255,-145.22742565234893
359,-195.7174893460371,-147.05636812326688
360,-128.16574859940437,-147.32937829892705
361,-208.74003831606586,-149.2133756992804
362,-277.2658098437988,-150.7610619619368
363,-329.1508798209758,-152.52600495638472
364,-143.79602280530372,-152.554160211359
365,-177.162616460219,-152.82312357446799
366,-41.86099001907958,-152.1878045231934
367,-126.47132791135084,-151.55406058721502
368,-15.874606125234067,-150.00844503075407
369,-162.00022526614504,-150.62142842886013
370,6.072661356283973,-148.59491416571163
371,-179.11628349723654,-148.82724806619802
372,-145.36726818311547,-148.48736235693804
373,-167.4096349854411,-148.54162227004113
374,-156.26449881192593,-149.82225570449458
375,-198.22136168377756,-149.6314671179994
376,37.412123741864434,-147.44046076504637
377,-145.95347595573867,-147.010418291453
378,-134.37886067981,-146.95787698785648
379,-188.10410265872434,-148.51771655823023
380,-171.41212026786133,-149.25351725076308
381,-152.36628572035153,-149.1031739037347
382,-112.72885613338315,-148.43898119918202
383,-138.64281527001737,-148.51675081497618
384,-360.2117295878269,-151.33188977077444
385,-148.59677583272207,-151.48127629992143
386,-200.83109246897527,-151.57685814219204
387,-158.0762185583588,-152.12120550481868
388,-112.21901723881578,-151.6287192593085
389,-126.5118174771346,-151.27431312131586
390,-3.53454311499992,-149.3669730139226
391,-150.6610759360358,-148.75708596478702
392,-127.3418015552078,-147.46634005734913
393,-145.58198429489988,-147.22190450678434
394,-171.85162532576203,-147.52712259993976
395,-145.3491461293736,-147.49844502880987
396,-120.4204441419833,-147.10869969610505
397,-101.35231687065006,-146.05480207808296
398,-123.97836157248784,-145.9475427937024
399,-272.88878996529695,-147.59821426212957
400,-116.2501041332845,-147.0269494560881
401,-179.64023058547423,-145.76543571455434
402,-137.52043432747377,-145.66049835166237
403,-187.3979423256698,-145.81576148906188
404,-70.12341371354175,-143.63523132911746
405,-32.6773781573297,-142.08908880064422
406,-71.14954367917507,-141.66315607874128
407,-170.66272258954518,-141.77058263303078
408,-170.83530536327714,-141.71134971347422
409,-105.83976234710926,-141.1579979741979
410,-162.45717722096794,-141.31372614572777
411,-157.79762749331584,-140.893151448941
412,-162.33548093411713,-140.7073728253791
413,45.93208897993213,-138.53542988684515
414,-138.01602518897175,-138.3090916593533
415,-130.90278121328913,-138.34807993497705
416,-171.46339056841802,-139.04686168628504
417,-99.23214847004944,-138.7698493685476
418,-159.67112328482693,-139.89946832613157
419,-144.57721535851059,-139.76825627098478
420,-45.31858916262175,-138.57007861526182
421,-197.04248900698747,-139.3490652906634
422,-287.70699363893345,-141.0794547630083
423,-133.5152084640921,-140.74829560121788
424,-192.14875305654922,-142.6731542163054
425,-110.03290337696188,-142.06264785764117
426,-136.8297289473247,-142.67033025618377
427,-150.4129226408706,-144.12308539819577
428,-185.74022969386186,-146.13464372929923
429,-19.99500271692571,-145.94460183318415
430,-134.22697705088083,-145.88429811082594
431,-126.04278269236312,-145.52421294474917
432,-97.98328292679048,-145.673848851179
433,-159.97519117134357,-145.50185233690442
434,-27.768021144950097,-144.1712185201452
435,-27.33601620070894,-142.70897910304052
436,-301.1620706987954,-144.47168639305036
437,-108.14844145436803,-144.1427419841299
438,-138.28306319075213,-144.13812776718638
439,-205.45834950910495,-144.56795417034385
440,-158.69275943711324,-144.98697093678788
441,-157.46002137224278,-144.98263262691233
442,-222.44674740407334,-145.82675148879494
443,-129.46093284850613,-145.56938610471144
444,-123.12640058181104,-144.38815811803545
445,-24.258516763052,-143.02377945096828
