Episode,Score,Average_Score
1,-159.006628217887,-159.006628217887
2,-103.05568605820515,-131.03115713804607
3,-292.2298130476903,-184.7640424412608
4,-378.5918089607994,-233.22098407114547
5,-161.32875732899703,-218.8425387227158
6,-140.9102397560697,-205.8538222282748
7,-98.26611922484311,-190.4841503706417
8,-180.2473988946321,-189.20455643614048
9,-127.89330506511102,-182.39219517269277
10,-95.48610164113369,-173.70158581953686
11,-199.36298192836898,-176.03444001124888
12,-140.5092839142241,-173.0740103364968
13,-272.5960194711481,-180.72954950070073
14,-140.2403428885724,-177.83746331412013
15,-156.49888198584162,-176.41489122556823
16,-203.16810786700665,-178.08696726565813
17,-193.0019693557602,-178.96432032978177
18,-107.40823129822097,-174.98898205025063
19,-125.59074399323953,-172.38907478409214
20,-121.760482632074,-169.85764517649122
21,-117.0048611983687,-167.34084593943777
22,-113.42334965967824,-164.89005065399417
23,-132.07600849337638,-163.4633531687499
24,-189.73650456074347,-164.558067810083
25,-214.9249592611634,-166.57274346812622
26,-124.32600994819981,-164.9478691019752
27,-71.3236448427402,-161.48030524052206
28,-238.52756111118825,-164.2319929501887
29,-202.07418867045885,-165.53689625088768
30,-97.14519306409267,-163.25717281132785
31,-244.26948916998057,-165.8704733390263
32,-200.2293703289117,-166.94418886996021
33,-91.2900341228728,-164.65163872610907
34,-369.1840990469256,-170.66729932378013
35,-116.42795093807942,-169.11760365561727
36,3.520523844393381,-164.3221001139503
37,-106.16510050403035,-162.7502893136822
38,-136.10771262693947,-162.04916887455738
39,-144.86242471129842,-161.60848312678152
40,-290.087278955989,-164.8204530225117
41,-127.97503326976275,-163.92178424805445
42,-100.22062183029699,-162.4050899047745
43,-236.0881296893843,-164.11864896953287
44,-161.42623302822528,-164.0574576981395
45,-138.01826877203706,-163.47880905533722
46,-143.29884764787846,-163.0401142421316
47,-171.89542802877787,-163.2285251737624
48,-325.2351955916703,-166.60366414080212
49,-270.7665973736117,-168.7294382884105
50,-105.93916140219694,-167.47363275068622
51,-110.57320034504835,-166.3579379976345
52,-169.5435159807194,-166.41919911269386
53,-99.45487522022805,-165.15572130340203
54,-94.42956440971444,-163.84597765722265
55,-90.46681686551597,-162.51181109737342
56,-208.28198622584245,-163.32913565323892
57,-141.74171523927333,-162.9504089793097
58,-98.54417667122003,-161.83995669813575
59,-124.58468741716695,-161.20851145608543
60,-184.99299809548182,-161.60491956674204
61,-195.67094484282563,-162.16337899749752
62,-140.21813596358976,-161.80942346469257
63,-210.04787588786252,-162.57511318569527
64,-115.77965455677172,-161.84393414461832
65,-155.34740846215934,-161.74398759565742
66,-222.75847106817037,-162.66844946645307
67,-157.5778173935318,-162.59246988327516
68,-85.46958868469298,-161.45830986564894
69,-103.70634377489303,-160.62132484984087
70,-126.62224090765645,-160.13562365066682
71,-126.37646845523925,-159.6601425915763
72,-111.61380398028686,-158.99283233308614
73,-156.7910298867801,-158.96267065573952
74,-110.14110518174914,-158.30291977095584
75,-95.24118721304137,-157.46209667018366
76,-84.90931833587601,-156.50745484999538
77,-129.4599391170036,-156.1561884119046
78,-113.61385748619956,-155.6107739128571
79,-122.19615021055444,-155.18780399257477
80,-131.3901988598629,-154.89033392841586
81,-142.53657365153617,-154.73781836944204
82,-176.48364127312203,-155.00301133168205
83,-142.87243737835257,-154.85685983826843
84,-125.26695880696799,-154.50459911170532
85,-104.00825674322135,-153.91052449560553
86,-105.25555310975005,-153.34476901437463
87,-123.38010760890398,-153.00034761890947
88,-165.88400707733604,-153.14675284002794
89,-194.651213698498,-153.61309509686467
90,-89.62446603562694,-152.9021103295176
91,-402.24693990634375,-155.64216340179038
92,-171.48096103627722,-155.81432424564352
93,-89.60786986589274,-155.10242688672145
94,-78.27853397786305,-154.28515143024424
95,-299.59488785893507,-155.81472760317783
96,-258.09421875308,-156.88013896932264
97,-124.49356273728938,-156.54625674012644
98,-149.52066799742857,-156.47456705907848
99,-125.28503726277324,-156.15952130356027
100,-93.26603188640868,-155.53058640938875
101,-177.83012380475787,-155.71882136525747
102,-326.9508499930149,-157.95777300460554
103,-122.15840290422521,-156.2570589031709
104,-284.2050898529157,-155.31319171209205
105,-177.96076497286646,-155.47951178853077
106,-144.04975104869624,-155.51090690145702
107,-155.47141632352535,-156.08295987244384
108,-197.7959152234634,-156.25844503573214
109,-129.0563362639603,-156.27007534772065
110,-99.06662335102382,-156.30588056481955
111,-125.80069080697457,-155.5702576536056
112,-114.98700739248414,-155.3150348883882
113,-108.3652169012129,-153.67272686268885
114,-95.44123190455663,-153.2247357528487
115,-125.26059870518947,-152.9123529200422
