Episode,Score,Average_Score
1,-269.31812271978185,-269.31812271978185
2,-252.86814924057592,-261.0931359801789
3,-260.2401214666353,-260.80879780899767
4,-362.71085902529717,-286.2843131130726
5,-91.83230141507816,-247.3939107734737
6,-310.0289091431387,-257.83307716841784
7,-113.79455047373652,-237.25614478346338
8,-234.30061731243433,-236.88670384958476
9,-220.92825973129868,-235.1135433919974
10,-133.41731654188555,-224.94392070698623
11,-115.40488636114512,-214.98582667554612
12,-139.08582257358034,-208.66082633371562
13,-124.36180930290487,-202.1762865621148
14,-231.29021588406178,-204.25585294225385
15,-133.45840573200508,-199.53602312823725
16,-217.74914761411122,-200.6743434086044
17,-266.4606396211227,-204.54412553875252
18,-270.42646642264106,-208.20425558785746
19,-116.7897391223375,-203.39296524756693
20,-172.0218108600051,-201.82440752818883
21,-137.9923839799255,-198.78478735922394
22,-104.28164849939559,-194.48919013832264
23,-184.64980483922247,-194.0613907774922
24,-246.33867018940083,-196.2396107529884
25,-171.13803005735298,-195.23554752516299
26,-125.9531703368823,-192.5708407102291
27,-96.82916635935455,-189.02485277130782
28,-110.08823227018594,-186.20568775341061
29,-132.45051280225806,-184.3520610309571
30,-131.70271886311056,-182.59708295869555
31,-149.7507744992307,-181.53752462129347
32,-133.72904605207202,-180.04350966600526
33,-154.61724596309136,-179.27301682652302
34,-141.79176240946913,-178.17062699072733
35,-174.16221275130317,-178.0561008696009
36,-100.1346095105361,-175.8916149985158
37,-175.17601175213463,-175.8722743702352
38,-121.09016745145769,-174.4306399776358
39,-127.96915442402376,-173.2393198352355
40,-112.03049310241504,-171.709099166915
41,-101.10273591363092,-169.98699274610317
42,-85.24219558382156,-167.96925948033456
43,-128.9088578496432,-167.06087804706266
44,-167.53741801535296,-167.07170850088744
45,-134.77354411140988,-166.35397151445463
46,-108.04976527050707,-165.08648877002096
47,-321.65528718274004,-168.41773980007883
48,-163.097372529312,-168.30689881527118
49,-155.91105493922078,-168.0539224096375
50,-196.4325261924052,-168.62149448529286
51,-109.96320712783428,-167.47133198808777
52,-139.54540154416253,-166.93429486416613
53,-112.40462676273735,-165.90543320187504
54,-134.32499913801482,-165.3206103488406
55,-112.01086088894067,-164.35134217684242
56,-163.85263373233562,-164.3424366689048
57,-114.66894606582815,-163.47097192148243
58,-94.90816505396447,-162.28885456169763
59,-14.228938867449074,-159.77936446518495
60,-104.35377189984507,-158.85560458909595
61,-91.87093942572278,-157.7574953241226
62,-133.53643109181024,-157.366832997795
63,-18.506436521197216,-155.16269972038867
