Episode,Score,Average_Score
1,-68.57047074790101,-68.57047074790101
2,-145.33662616822227,-106.95354845806165
3,-183.59423020738046,-132.50044237450126
4,-408.2159255531652,-201.42931316916724
5,-225.8178327939414,-206.30701709412205
6,-64.14673468306644,-182.61363669227944
7,-243.26482080949145,-191.2780915661669
8,-326.44154844022523,-208.17352367542418
9,-109.10272308570961,-197.16565694323367
10,-272.19213870376086,-204.66830511928637
11,-324.39393743297535,-215.55245351143992
12,-250.55933262091747,-218.4696934372297
13,-480.2346997797448,-238.6054631558847
14,-51.74422448769337,-225.25823182244247
15,-201.61475099347746,-223.68199976717816
16,-339.2136647394718,-230.90272882794653
17,-99.71754810638818,-223.18595349138428
18,-204.47104996170015,-222.14623662862402
19,-260.077122776971,-224.1425990574844
20,-104.79834602960352,-218.17538640609035
21,-542.9950723691147,-233.6429904995677
22,-102.55632124413393,-227.68450553341162
23,-339.9198580575264,-232.5643034692427
24,-246.06680785309615,-233.12690781856995
25,-245.17064594477543,-233.60865734361815
26,-130.22450949239618,-229.632343964725
27,-212.64247937459058,-229.00308972064596
28,-131.39164147033296,-225.51696656884906
29,-421.8291307882143,-232.28635154193063
30,-183.88005089168905,-230.6728081869226
31,-76.55395944068712,-225.701232420915
32,-160.37729373141713,-223.65985933686818
33,-56.14326809111752,-218.58359899608786
34,-171.50424684434347,-217.19891216809538
35,-289.1810595777951,-219.25554495122967
36,-157.63026077347652,-217.54373150184765
37,-295.7488841184844,-219.65738427527023
38,-275.7394814465797,-221.13322893767312
39,-245.39170272018814,-221.75524108594274
40,-123.24099956949236,-219.29238504803146
41,-63.50529990721097,-215.4927000445968
42,-156.03387336086683,-214.07701369498417
43,-99.06781911234737,-211.40238126282983
44,-270.8494195751206,-212.7534503153819
45,-56.69852017759149,-209.28556297898658
46,-246.30487728465624,-210.09033068128375
47,-206.67561436066262,-210.01767714254714
48,-233.52818704201005,-210.50747943211925
49,-336.0897128979074,-213.07038215591083
50,-125.9872275376462,-211.32871906354555
51,-66.54751046619832,-208.48987183614656
52,8.675502934426618,-204.31361462902018
53,-140.0371868082804,-203.10085183994963
54,-164.77626844518963,-202.39113733263926
55,-187.12360108770793,-202.11354576454957
56,-321.54119209619773,-204.24618230618617
57,-219.8919510088233,-204.52066947640787
58,-387.6526818232891,-207.67811796514718
59,-244.4185608650099,-208.3008373363313
60,-209.00744078286976,-208.3126140604403
61,-145.9442816080978,-207.29018238089367
62,-264.84202186396044,-208.21843785642702
63,-406.7773952872999,-211.37016733945674
64,-44.50729368402865,-208.76293493859066
65,-178.546042390686,-208.2980596686229
66,-155.12446700987817,-207.49239917379344
67,-178.21166501710036,-207.05537329085774
68,-223.4695208536972,-207.29675781384069
69,-389.05548262325954,-209.9309422313685
70,-158.48168018159976,-209.19595277351465
71,-122.42283640925274,-207.9737962050039
72,-75.10204055803928,-206.12835515435165
73,-345.1549840438312,-208.03282952270067
74,-242.89625571070545,-208.50395690361967
75,-186.82495858360633,-208.21490359268614
76,-306.2259003990255,-209.50452197171694
77,-102.07883302784614,-208.10938315426407
78,-268.75538039356064,-208.88689593938327
79,3.5070060029168815,-206.19836553505033
80,-18.978691200465704,-203.858119605868
81,-36.25264158798899,-201.78891617354853
82,-277.73692104742076,-202.7151113549372
83,-243.99754646580413,-203.21249009121271
84,-189.60625990023232,-203.0505111603677
85,-200.58101374118075,-203.02145824955375
86,-204.62416093380347,-203.04009432727756
87,-285.57073585368687,-203.9887223907995
88,-64.356866549003,-202.4019967562337
89,-242.518819793173,-202.85274757687347
90,-39.18641139566192,-201.03423273041557
91,-168.27329268394266,-200.67422240023456
92,-124.84635056871596,-199.85000640206587
93,-297.21601907185754,-200.89695277485933
94,-79.88755408888831,-199.60961874628518
95,-76.70199526287807,-198.3158542885651
96,-200.1974194697566,-198.33545392586913
97,-110.21066161710056,-197.42695091237667
98,-0.6926720260484274,-195.41945827067943
99,-182.50849453164108,-195.28904449553764
100,-305.6706640134658,-196.39286069071693
101,-315.4573181361228,-198.86172916459915
102,-353.5603275981163,-200.94396617889808
103,-240.70577964404768,-201.51508167326475
104,-425.3514680560394,-201.6864370982935
105,-184.84171511360705,-201.27667592149018
106,-141.08553184069504,-202.04606389306645
107,-214.62770965297833,-201.75969278150126
108,-120.65298323941676,-199.70180712949315
109,-239.00350619621207,-201.0008149605982
110,-274.2782454797588,-201.0216760283582
111,-159.23499678914783,-199.37008662191994
112,-360.7023360818141,-200.47151665652893
113,-157.86177320983245,-197.24778739082979
114,-203.27622093328134,-198.76310735528565
115,-252.067565908695,-199.26763550443783
116,-213.08590702194363,-198.00635792726257
117,-181.20846058119898,-198.82126705201065
118,-481.16224825965645,-201.58817903499025
119,-299.17544693786033,-201.97916227659914
120,7.451928647988012,-200.85665952982322
121,-225.61351493934205,-197.6828439555255
122,-258.02612472182005,-199.2375419903023
123,-296.51952792182124,-198.80353868894525
124,-220.22845983344223,-198.5451552087487
125,-3.7849204520769035,-196.1312979538217
126,-78.31812912252462,-195.61223415012304
127,-140.382615844284,-194.8896355148199
128,-225.04094780373694,-195.826128578154
129,-255.48001599053046,-194.1626374301772
130,-271.1963140819157,-195.03580006207946
131,-259.43859990212627,-196.86464646669384
132,-253.71791067303926,-197.79805263611007
133,-169.8544877091841,-198.93516483229072
134,-20.676724069490803,-197.4268896045422
135,-206.38208197725302,-196.5988998285368
136,-243.58220783780493,-197.45841929918006
137,-150.24077018623422,-196.00333815985755
138,-190.42326628666092,-195.15017600825834
139,-161.5102793036107,-194.31136177409257
140,-328.35447060693036,-196.362496484467
141,-212.4925497915129,-197.85236898330996
142,-235.04766363198388,-198.64250688602118
143,-145.30882262824412,-199.10491692118015
144,-243.3967146434634,-198.8303898718636
145,-221.2326611329403,-200.47573128141707
146,-193.04122220842623,-199.94309473065476
147,-323.5758586348775,-201.1120971733969
148,-180.0357836571995,-200.57717313954882
149,-94.28609397369729,-198.1591369503067
150,-218.36318074380836,-199.0828964823683
151,-180.3262665203991,-200.22068404291028
152,-343.07281677203065,-203.73816723997487
153,-187.38536233700006,-204.21164899526207
154,-123.00869745318003,-203.793973285342
155,-314.27226900351144,-205.06545996450006
156,-134.38804900192372,-203.19392853355734
157,-225.3091535721394,-203.2481005591905
158,-182.82994552071415,-201.19987319616473
159,-178.15715284085053,-200.5372591159231
160,-176.8929472613762,-200.21611418070813
161,-256.8617015794677,-201.32528838042185
162,-96.63952254177953,-199.64326338720002
163,-16.20705440789189,-195.73755997840595
164,-389.37851161651736,-199.18627215773085
165,-202.0927648298818,-199.42173938212284
166,-209.48852222736878,-199.96537993429774
167,-102.56689300084759,-199.2089322141352
168,-151.98709453202991,-198.4941079509185
169,-237.64116584378039,-196.97996478312373
170,-136.81247617783959,-196.76327274308613
171,-231.8714437296141,-197.8577588162897
172,-227.1841189547195,-199.37857960025656
173,-218.70833244658138,-198.11411308428407
174,-222.96845930527832,-197.91483512022975
175,-220.0074611323473,-198.24666014571721
176,-184.75105947449055,-197.03191173647184
177,-288.44663789316644,-198.89558978512503
178,-218.11194030293188,-198.38915538421872
179,-338.79169097770733,-201.812142354025
180,-193.6960407792318,-203.5593158498127
181,-88.00251002939359,-204.07681453422677
182,-282.57356757017953,-204.1251809994543
183,-95.09850442060029,-202.63619057900226
184,-242.1219869353945,-203.1613478493539
185,-73.96647104474721,-201.89520242238956
186,-150.20417217114036,-201.35100253476287
187,-360.2582855026865,-202.0978780312529
188,-56.105341630273955,-202.0153627820656
189,-221.02866552513845,-201.8004612393853
190,-192.48988589336955,-203.33349598436234
191,-232.94924399201886,-203.98025549744315
192,-175.91739640597095,-204.49096595581565
193,-204.10785947347716,-203.55988435983184
194,-268.641507952036,-205.4474238984633
