Episode,Score,Average_Score
1,-388.57446975818146,-388.57446975818146
2,-125.88365676831312,-257.22906326324727
3,-98.37939765593742,-204.2791747274773
4,-186.53895372764245,-199.8441194775186
5,-107.61056745667449,-181.3974090733498
6,-153.38737140715347,-176.72906946231706
7,-349.48350160401117,-201.40827405398764
8,-128.808198732322,-192.33326463877944
9,-210.88955070987038,-194.395074202234
10,-141.85076351266355,-189.14064313327694
11,-383.24386544478006,-206.78639061614086
12,-168.29931275537558,-203.57913412774374
13,-320.62100224097287,-212.5823547518383
14,-293.607286692424,-218.36984989045158
15,-166.80989400240816,-214.93251949791537
16,-241.36986536280813,-216.58485361447117
17,-28.52145033725519,-205.5223004805173
18,-188.2857789761228,-204.5647159524954
19,-171.34108256657396,-202.81610366902586
20,-240.4029219307851,-204.6954445821138
21,-177.67632021914974,-203.40881961244884
22,-223.487608044432,-204.3214918139026
23,-224.14891890855014,-205.183553861496
24,-68.27972923157786,-199.4792278352494
25,-311.59307718023064,-203.96378180904864
26,-153.22915325135716,-202.0124499414451
27,-91.80948218902496,-197.93085854320736
28,-96.08174452684058,-194.29339018547995
29,-124.83425780857463,-191.8982476897246
30,-275.53275246222626,-194.68606451547467
31,-34.70055961092905,-189.52524177661837
32,-60.88581859295003,-185.5052598021287
33,-535.2510643884673,-196.10361751686622
34,-64.35315211026014,-192.22860382843666
35,-143.34057756203296,-190.83180307796798
36,-366.20720945244926,-195.7033421439258
37,-248.5031010446587,-197.13036265475642
38,-266.0306773307568,-198.94352883044064
39,-207.46056348931282,-199.16191433451428
40,-248.7536065979432,-200.40170664110002
41,-110.66639403174115,-198.21304047989614
42,-339.1940764168113,-201.56973181172748
43,-315.62614861402506,-204.22220662108322
44,-297.5639818577487,-206.34361060373473
45,-375.8998336988118,-210.1115266725142
46,-29.51830203762566,-206.18558700653838
47,-112.54638179858563,-204.19326349147556
48,-157.5822693880301,-203.22220111432043
49,-194.60005785001385,-203.04623900688557
50,-131.56229680713062,-201.6165601628905
51,-256.45133022300854,-202.69175173269673
52,-198.23767230081702,-202.6060963590067
53,-58.65374187999177,-199.8900141990253
54,-62.00339482607293,-197.3365582847114
55,-261.9469921662253,-198.51129344619346
56,-166.63407973972724,-197.9420574871494
57,-210.1777705036747,-198.15671911901828
58,-262.53701296125956,-199.26672418526383
59,-85.47682487542473,-197.3380818240801
60,-122.87185477856626,-196.09697803998822
61,-48.09514522451617,-193.6707184856362
62,-259.13377254338,-194.72657419624497
63,-203.07657669467957,-194.85911391844235
64,-137.7940872097965,-193.96747287611976
65,-175.1275067355735,-193.67762724318825
66,-221.22970564930955,-194.09508297661435
67,-82.54471962236246,-192.43015218028225
68,-171.0458801036387,-192.11567759091983
69,29.8349902020052,-188.89900124609483
70,-209.55669205365234,-189.19411111477424
71,-177.1476007424976,-189.02444195460131
72,-262.6021160609547,-190.04635409496734
73,-143.8648556094421,-189.4137308280423
74,-188.32866730101517,-189.39906780740682
75,-131.02235380798442,-188.62071162074784
76,-283.0514541521431,-189.8632213908978
77,-203.6665980076425,-190.0424860222841
78,-161.03983150006246,-189.67065711815303
79,-159.34799520590516,-189.28682595470687
80,-353.5954676571142,-191.34068397598696
81,-42.885534630159476,-189.50790435443352
82,-124.03631729181042,-188.70947036586495
83,-113.93075777460766,-187.80852202139195
84,-209.33060004285318,-188.06473723593317
85,-190.9370455128098,-188.09852909801407
86,-185.0142703130237,-188.06266562377002
87,-48.97556086037895,-186.4639632701678
88,-173.81085059171323,-186.32017789882173
89,-272.0656079061109,-187.28360969665644
90,-204.21438698325983,-187.4717294442854
91,-227.70268013484335,-187.91382780352228
92,23.39276297279345,-185.61701703421448
93,-137.24922891664443,-185.0969332910148
94,-234.59017995941124,-185.62345719174243
95,-228.94969234703203,-186.079522824956
96,-181.73003221226844,-186.03421563107386
97,-191.5929712890354,-186.0915223904343
98,-214.24299535468552,-186.37878231864096
99,-323.36692977808957,-187.76250097984752
100,-272.90670583791973,-188.61394302842822
101,-215.8315798324615,-186.88651412917102
102,-182.92883468212125,-187.45696590830906
103,-188.62285723754752,-188.35940050412515
104,-188.65349613835383,-188.38054592823227
105,-16.826674874624246,-187.4727070024118
106,-160.1283314756608,-187.5401166030969
107,-233.54792630721138,-186.3807608501289
108,-402.96293262391924,-189.12230818904484
109,-198.72091413335556,-189.0006218232797
110,-180.4022205775611,-189.3861363939287
111,-158.0293478603269,-187.13399121808413
112,-153.24277145034836,-186.9834258050339
113,-290.2827155301369,-186.68004293792558
114,-224.23886830608905,-185.9863587540622
115,-172.35008377033643,-186.04176065174147
116,-326.32286456655555,-186.89129064377892
117,-203.36189166211483,-188.6396950570275
118,-110.55306992474443,-187.86236796651372
119,-188.34655759912087,-188.03242271683922
120,-12.433040783188318,-185.75272390536324
121,210.02134532526878,-181.87574724991902
122,-256.2166372919888,-182.20303754239464
123,-170.57617533099815,-181.6673101066191
124,-257.0500843568147,-183.55501365787148
125,-138.4788732632853,-181.823871618702
126,-166.25467135502737,-181.95412679973873
127,-268.54046129051187,-183.72143659075357
128,-207.78637126347132,-184.8384828581199
129,-127.29554827125872,-184.86309576274675
130,-115.30501493325313,-183.26081838745696
131,-245.2282368052875,-185.36609515940057
132,-256.41394522723647,-187.32137642574344
133,-143.69292661017926,-183.40579504796054
134,-202.2797170770107,-184.78506069762807
135,-3.10897706879112,-183.3827446926956
136,-194.65588309146816,-181.66723142908583
137,-219.75735592175107,-181.37977397785676
138,-158.40148066505014,-180.3034820111997
139,-158.46452949796986,-179.81352167128625
140,-23.253596359225824,-177.55852156889912
141,-184.02491182898788,-178.29210674687155
142,-116.26081883267399,-176.0627741710302
143,-275.6555041697899,-175.66306772658783
144,-170.44127176690358,-174.3918406256794
145,-294.35459353254447,-173.5763882240167
146,-345.4815061524571,-176.73602026516505
147,-157.63917613520528,-177.18694820853125
148,-238.4953896898764,-177.9960794115497
149,-276.57693284447424,-178.81584816149424
150,-85.14894728425506,-178.35171466626554
151,-216.54220482511994,-177.95262341228664
152,-173.75001924752036,-177.70774688175368
153,7.6301987854789814,-177.04490747509897
154,-146.45781535570083,-177.88945168039524
155,-298.1072843059788,-178.2510546017928
156,-32.398801321648236,-176.90870181761198
157,-4.413796562936739,-174.8510620782046
158,-115.3341630436386,-173.37903357902837
159,2.9620771270963644,-172.49464455900318
160,-97.6369751629705,-172.24229576284722
161,-235.60662864801677,-174.1174105970822
162,-222.7178064166731,-173.75325093581515
163,-214.58835002470673,-173.86836866911545
164,-67.13007004760706,-173.16172849749353
165,-273.75739868510357,-174.1480274169888
166,-140.07850285610004,-173.33651538905673
167,-167.16516986883073,-174.18271989152137
168,19.24593574449308,-172.27980173304007
169,-232.37358937463569,-174.9018875288065
170,-10.782756965463022,-172.91414817792457
171,-340.6792376456017,-174.54946454695565
172,-168.36595263632637,-173.60710291270937
173,-217.54315767825761,-174.34388593339753
174,-206.7727124763408,-174.52832638515082
175,-212.93064776899035,-175.34740932476086
176,-210.64520196502983,-174.62334680288973
177,-34.44868766750403,-172.93116769948833
178,-144.48937883358076,-172.7656631728235
179,-150.95076976461712,-172.68169091841068
180,-210.31436736879522,-171.24887991552748
181,-1.8455368792183577,-170.83847993801805
182,-129.63315777127593,-170.89444834281275
183,-213.121037143634,-171.88635113650304
184,13.610074382725458,-169.6569443922472
185,-1.7375202638993983,-167.76494913975807
186,-94.3360980295522,-166.85816741692335
187,-188.39182754583948,-168.25233008377793
188,-2.062237067171395,-166.5348439485325
189,-107.76444756714433,-164.89183234514292
190,-307.9157291894103,-165.9288457672044
191,-171.7851910013456,-165.36967087586942
192,-139.51967835820076,-166.99879528917933
193,-120.6460470251556,-166.83276347026444
194,-138.03623596074186,-165.86722403027778
195,-165.71183142293847,-165.23484542103685
196,-56.352860384058275,-163.98107370275474
197,-14.464329329462785,-162.20978728315905
198,-33.473554180336095,-160.40209287141553
199,-235.58063080613113,-159.52422988169593
200,-184.94962237884212,-158.64465904710516
201,-129.6419999379786,-157.7827632481603
202,-332.13513108076813,-159.2748262121468
203,-172.3944507485535,-159.11254214725685
204,-180.15011696971857,-159.0275083555705
205,-308.99241977821913,-161.94916580460642
206,-184.12744307195342,-162.18915692056936
207,-183.9590314117499,-161.69326797161474
208,-170.16151119647222,-159.3652537573403
209,-163.02899392305392,-159.00833455523727
210,-338.8910551791944,-160.59322290125363
211,-136.49883829360434,-160.37791780558638
212,-92.93803011052833,-159.77487039218818
213,-187.62462877765674,-158.7482895246634
214,7.12481558576016,-156.4346526857449
215,-13.329058640637811,-154.84444243444793
216,7.129572380210718,-151.50991806498024
217,-150.01757806243612,-150.97647492898346
218,-65.76581527542304,-150.52860238249025
219,-188.94793397333163,-150.53461614623234
220,-154.4898030687662,-151.9551837690881
221,-243.2033615599911,-156.4874308379407
222,-187.56237889148662,-155.8008882539357
223,-166.9595980678988,-155.76472248130472
224,7.58898993492889,-153.11833173838727
225,-166.02243645035037,-153.39376737025793
226,-318.4102236132018,-154.91532289283967
227,-185.2792580546887,-154.08271086048143
228,-100.57663671020818,-153.0106135149488
229,-22.887750576929378,-151.9665355380055
230,-243.51258762584948,-153.24861126493147
231,-200.72883297769016,-152.8036172266555
232,-169.76290536794673,-151.9371068280626
233,-174.02962218275889,-152.2404737837884
234,-158.84405712802453,-151.80611718429853
235,-137.59554004086334,-153.15098281401927
236,-214.81819178641592,-153.35260590096877
237,-179.8850635145438,-152.95388297689667
238,19.540581730782435,-151.17446235293835
239,-165.5937542166051,-151.24575460012468
240,-187.84950612917686,-152.8917136978242
241,-130.52244553186708,-152.356689034853
242,-123.44344297565432,-152.4285152762828
243,-199.85898165204202,-151.67055005110532
244,-174.4718126100608,-151.7108554595369
245,-181.83514378229484,-150.5856609620344
246,-195.26411877117437,-149.08348708822157
247,-147.94326566433807,-148.98652798351293
248,-160.5082818550203,-148.20665690516435
249,4.671396397095492,-145.39417361274866
250,-158.84967781826697,-146.13118091808875
251,-210.16741573001502,-146.0674330271377
252,-218.22462776282802,-146.51217911229077
253,-100.38429317734591,-147.59232403191902
254,-314.2733476285225,-149.27047935464725
255,-203.22339048025805,-148.32164041639004
256,-284.2113815364961,-150.83976621853853
257,5.391769543614799,-150.741710557473
258,-220.4562099525971,-151.7929310265626
259,-192.22209954811495,-153.74477279331472
260,-271.1191234875914,-155.47959427656093
261,-142.3153838394017,-154.54668182847476
262,-18.925801087872472,-152.50876177518674
263,-26.3016708703817,-150.6258949836435
264,-131.7604977066471,-151.2721992602339
265,-108.21448475375963,-149.61677012092048
266,-122.92484695617574,-149.4452335619212
267,-309.0877973283157,-150.86445983651606
268,-220.28259619968264,-153.2597451559578
269,-195.90567311524785,-152.89506599336394
270,-289.06573276761935,-155.6778957513855
271,-328.32706077126636,-155.55437398264218
272,-200.38885208445538,-155.87460297712346
273,-186.45699297171797,-155.56374133005806
274,-82.51187498834676,-154.32113295517811
275,-71.1027513079328,-152.90285399056754
276,-170.51540397500395,-152.5015560106673
277,-209.5810600604139,-154.25287973459638
278,-306.239892037113,-155.8703848666317
279,-156.7588714543847,-155.92846588352938
280,-214.7952184975919,-155.97327439481737
281,-196.96045998031047,-157.92442362582827
282,-175.79142345230946,-158.3860062826386
283,-152.02024349103687,-157.7749983461126
284,-157.08132036404845,-159.48191229358036
285,-181.11696218174606,-161.27570671275885
286,-190.8918287387239,-162.24126401985058
287,-296.6007435318635,-163.3233531797108
288,-92.33455867354331,-164.22607639577456
289,-176.80252186252307,-164.9164571387283
290,-188.36102486745563,-163.72091009550874
291,-214.08783172505986,-164.1439365027459
292,-143.90818708386695,-164.18782159000253
293,-33.283945553367815,-163.31420057528467
294,-137.23931569857064,-163.30623137266298
295,-103.17312043065483,-162.68084426274015
296,-181.45061462137463,-163.9318218051133
297,-164.59894012391675,-165.43316791305784
298,-159.7309786109568,-166.69574215736407
299,-107.92019298487845,-165.41913777915153
300,-129.7910890488893,-164.86755244585203
301,-126.76383799813948,-164.83877082645358
302,-159.71040893059092,-163.11452360495184
303,-209.26472677344577,-163.48322636520078
304,-96.95096378581938,-162.65123483336177
305,-291.07415669226805,-162.47205220250225
306,-201.36391906217088,-162.64441696240442
307,-13.318605027797332,-160.9380126985649
308,-182.0658059070094,-161.0570556456703
309,-127.91644196965015,-160.70593012613625
310,-99.69007661989524,-158.31392034054326
311,-175.28630185155396,-158.70179497612276
312,-297.2608908864001,-160.74502358388145
313,-182.33655772679685,-160.69214287337286
314,-174.57799520748347,-162.50917098130526
315,-38.72044218544393,-162.76308481675335
316,-10.033710920239983,-162.93471764975783
317,-179.76910803251258,-163.2322329494586
318,-31.671941038487503,-162.89129420708926
319,-176.6663866057841,-162.7684787334138
320,-152.87757221076413,-162.75235642483375
321,-171.6928550879449,-162.03725136011332
322,-133.65488781909133,-161.49817644938938
323,-208.74145252591853,-161.91599499396955
324,-227.66031492141784,-164.26848804253302
325,-276.9179915481059,-165.37744359351058
326,-201.02510007216657,-164.20359235810022
327,-168.6598478312041,-164.03739825586538
328,-182.6205610231519,-164.85783749899483
329,-166.40119243647393,-166.2929719175903
330,12.678153143255926,-163.7310645098992
331,-181.53900150731658,-163.53916619519546
332,-194.73131513166825,-163.7888502928327
333,-186.67288134954066,-163.91528288450053
334,-164.47203982748238,-163.9715627114951
335,-19.241047988098813,-162.78801779096742
336,-158.76398408627463,-162.22747571396602
337,-246.03806939283282,-162.88900577274887
338,-171.99609328891782,-164.8043725229459
339,-205.87077346121416,-165.20714271539197
340,-149.64221271970894,-164.82506978129732
341,-187.2273981899296,-165.39211930787795
342,-203.4776409008404,-166.19246128712982
343,-147.0459363392579,-165.66433083400196
344,-169.2931139814773,-165.61254384771615
345,-129.79777006346276,-165.09217011052783
346,-162.52727816609297,-164.764801704477
347,-92.76440069843514,-164.21301305481796
348,-129.61443165936674,-163.90407455286143
349,-99.34094136894124,-164.9441979305218
350,-323.7807635962019,-166.59350878830116
351,-219.32740611706214,-166.68510869217164
352,27.394753220711067,-164.22891488233626
353,-223.4537408410819,-165.45960935897358
354,-194.0840550465689,-164.25771643315403
355,-71.57119407278446,-162.94119446907933
356,-145.83001322441265,-161.55738078595851
357,-169.63002499414642,-163.30759873133613
358,-176.61844887088424,-162.86922112051897
359,-13.484255914572486,-161.08184268418356
360,-97.87649063791811,-159.3494163556868
361,-114.27043402016534,-159.06896685749444
362,-156.97373625215567,-160.44944620913728
363,-236.23917086138653,-162.54882120904733
364,-227.16200784612238,-163.50283631044206
365,-300.8530555803125,-165.42922201870763
366,-348.7540304542828,-167.6875138536887
367,-145.41816226282305,-166.05081750303376
368,-212.48529955459307,-165.97284453658284
369,-14.159444520019562,-164.15538225063062
370,-136.85918304055187,-162.6333167533599
371,-200.4307077397924,-161.35435322304514
372,-145.46346601248575,-160.80509936232545
373,-7.513004333701588,-159.01565947594528
374,-135.66436961858705,-159.5471844222477
375,-118.85757226118662,-160.02473263178024
376,-181.6423566862553,-160.13600215889275
377,-170.21131933049864,-159.7423047515936
378,-188.2675724205348,-158.5625815554278
379,-152.75676294836882,-158.5225604703677
380,-150.04020172878617,-157.8750103026796
381,-177.60352065156934,-157.68144090939222
382,-126.27616062436022,-157.18628828111272
383,-111.37128418644377,-156.7797986880668
384,-319.34225557422656,-158.40240804016855
385,-149.17274506411468,-158.08296586899226
386,-83.46528628514274,-157.00870044445645
387,-164.49979027133702,-155.68769091185118
