Episode,Score,Average_Score
1,-76.81830913799645,-76.81830913799645
2,-175.3947655377051,-126.10653733785077
3,-82.26934592702551,-111.49414020090903
4,-187.62989648005254,-130.5280792706949
5,-287.56214857804355,-161.93489313216463
6,-208.92463543495654,-169.7665168492966
7,-452.6423438223047,-210.17734927401202
8,-144.0442049704464,-201.91070623606635
9,-248.55086621749965,-207.09294623400336
10,-249.86996283653647,-211.37064789425668
11,-279.2431913051861,-217.54087911343206
12,-210.3991587431816,-216.9457357492445
13,-82.43313976437729,-206.5986129811778
14,-308.0503529033938,-213.84516583276465
15,-174.87486606803463,-211.24714584844932
16,-45.452568993916074,-200.88498479504102
17,-266.9541953360499,-204.77140894451213
18,-334.67660727075327,-211.9883644070811
19,-143.94641669576177,-208.40720926438007
20,-284.90388121375196,-212.2320428618487
21,-90.94707549404836,-206.45656822528676
22,-198.30675867547032,-206.08612233665875
23,-303.10241146514284,-210.30422186398414
24,-131.40056432042334,-207.01656946633577
25,-411.31088356626077,-215.18834203033276
26,-155.72099440861754,-212.90113635257447
27,-434.74380744974985,-221.11753157839576
28,-320.1182029125109,-224.65326984032845
29,-187.59166650153657,-223.37528351830113
30,-396.32285186975116,-229.14020246334948
31,-108.65330234985892,-225.2535282661401
32,-161.52261991028217,-223.26193738001956
33,-142.7223244352435,-220.8213430483597
34,-280.89469966488605,-222.5882064782575
35,-397.7961273392909,-227.59414707428704
36,-78.69690953154968,-223.45811269809988
37,-327.3839472914293,-226.26691903846014
38,-246.10518281834035,-226.7889786116149
39,-119.89929784170356,-224.04821756623255
40,-300.4702717702746,-225.95876892133361
41,-326.4283844660427,-228.40924734925332
42,-254.46009723358597,-229.02950567983268
43,-92.77683869643624,-225.86083900580022
44,-222.7033604758906,-225.78907813012046
45,-250.91812169421024,-226.34750132043357
46,-184.13215982751157,-225.42977650537006
47,-149.12843727892064,-223.80634375587115
48,-362.82884748500953,-226.7026459168948
49,-15.690396483831393,-222.39627347948533
50,-470.5190594219917,-227.35872919833545
51,-76.47082094342878,-224.40014276196473
52,-77.63427162064635,-221.5777221630932
53,-193.30745067042807,-221.04432081417502
54,-148.9479805845029,-219.7092034025144
55,-194.09858207075303,-219.24355574193694
56,-250.3326210013377,-219.79871762156912
57,-329.6886400274541,-221.72661099711098
58,-357.219199451877,-224.06269010840003
59,-186.32322630732716,-223.4230381795683
60,-192.16549917466352,-222.90207919615324
61,-98.74022603959357,-220.86663898047192
62,-212.457648546602,-220.73101010250627
63,-146.28065215742186,-219.54925838909224
64,-227.73951702066134,-219.6772311802105
65,-252.0197924867744,-220.17480904646533
66,-195.47678514818332,-219.80059656315802
67,-217.13707344169086,-219.76084248671822
68,-340.1336912625716,-221.53103143930431
69,-338.479699021681,-223.22593966513585
70,-294.7074173493759,-224.24710363205358
71,-354.13040880943913,-226.07644595849564
72,-106.15253326626373,-224.4108360599924
73,-240.08658064652934,-224.62557228720522
74,-242.1961877220258,-224.86301303632442
75,-337.2626863608233,-226.36167534731774
76,-253.34582468342987,-226.71672994384554
77,-181.14755207431062,-226.1249224390464
78,-409.4241419752428,-228.4749124331002
79,-291.68223981263236,-229.27500518473985
80,-204.74717760508378,-228.96840733999412
81,-197.6573576129706,-228.5818511705247
82,-302.3153749960758,-229.48104048547043
83,-314.80368866996696,-230.50902419853665
84,-342.1914037402326,-231.83857633593777
85,-270.64378570830524,-232.2951082109068
86,-309.1141569289782,-233.18835296344253
87,-231.1312720434334,-233.16470835516654
88,-249.00961299337308,-233.34476408969167
89,-173.95541227063654,-232.6774680018371
90,-291.22464326568434,-233.3279921714354
91,-187.18756759888723,-232.82095453877005
92,-107.52226678437103,-231.45901228057005
