Episode,Score,Average_Score
1,-261.0753996055088,-261.0753996055088
2,-294.7246567073078,-277.9000281564083
3,-314.56157638402505,-290.12054423228057
4,-108.06204752685879,-244.60592005592514
5,-305.3926934077292,-256.76327472628594
6,-94.93378614209166,-229.7916932955869
7,-162.33678839341485,-220.1552783095623
8,-139.08177158971785,-210.02108996958177
9,-106.0948318416389,-198.4737279553659
10,-126.54388359035055,-191.28074351886434
11,-161.65108526037162,-188.58713822263772
12,-303.2788481069724,-198.14478071299894
13,-332.2116296821916,-208.45761524909068
14,-132.71169205633683,-203.04719216389395
15,-152.45950913061986,-199.6746799616757
16,-112.24294934484337,-194.21019679812372
17,-168.9074258556316,-192.72179850738888
18,-213.4595864008089,-193.8738978348011
19,-112.63432157644664,-189.59813066330878
20,-196.00454109203255,-189.91845118474495
21,-366.75984578404984,-198.33946997518805
22,-193.01870140846006,-198.09761685851862
23,-388.8971885136026,-206.39325040873965
24,-223.59621359259816,-207.1100405414004
25,-101.8738577574226,-202.90059323004127
26,-394.22640762983195,-210.25927839926396
27,-241.21214675533884,-211.40568093097045
28,-158.56511676750767,-209.5185179251325
29,-208.14130641201228,-209.47102787295594
30,-77.69318068404091,-205.0784329666588
31,-83.60297179566048,-201.15986970307821
32,-166.56635430374308,-200.078822346849
33,-365.5718063616614,-205.09376125638877
34,-299.2395462105191,-207.86275493151024
35,-357.40013591456443,-212.13525153102606
36,-260.4874725554116,-213.47836878170344
37,-254.32382686978832,-214.58230008138142
38,-207.0453068902929,-214.38395815530012
39,-27.899442262850215,-209.60230390164756
40,-248.0708898952732,-210.5640185514882
41,-254.21570993102907,-211.6286939509892
42,-21.65502244560672,-207.10551129609914
43,-149.64129069352208,-205.76913407278337
44,-296.8358177997849,-207.83883143021524
45,-252.35159970615504,-208.82800405856946
46,-31.479663990002194,-204.97260536142667
47,-252.57830009418961,-205.98549248340038
48,-304.2553227937379,-208.03278061486574
49,-272.4133621108365,-209.34667003315084
50,-324.06820804476797,-211.6411007933832
51,-272.60310824309346,-212.83643427278926
52,-187.68980659555626,-212.3528452789963
53,-183.22472427210067,-211.80325809018694
54,-254.55894275186358,-212.59503002836615
55,-266.87756508879494,-213.58198521128304
56,-327.80739564836534,-215.6217246833738
57,-212.38840363267371,-215.5649997526598
58,-171.0528725225741,-214.79754928317556
59,-264.278238349808,-215.63620503006763
60,-197.69270738937473,-215.3371467360561
61,-242.08892554469776,-215.77570048701745
62,-422.17578944542083,-219.1047341798949
63,-346.6513650874587,-221.12928387684036
64,-187.18724370723504,-220.59893949919027
65,-252.1565920178913,-221.0844418456318
66,-174.69943917419505,-220.3816387748525
67,-311.06426233316313,-221.73511076826009
68,-221.74493380352317,-221.73525522466102
69,-360.8013013521945,-223.7507051685383
70,-185.55679259405366,-223.2050778460457
71,-232.32440863224517,-223.33351912472455
72,-106.21651762266154,-221.70689410386257
73,-204.68977625041194,-221.47378290039066
74,-153.0656744822149,-220.54934900284775
75,-129.6856163760059,-219.3378325678232
76,-353.8456925303648,-221.10767283048824
77,-231.63783598629624,-221.2444281961481
78,-277.56083159325317,-221.96643336790584
79,-207.58478282125722,-221.7843871584546
80,-198.86512232652336,-221.49789634805538
81,-209.2442107697272,-221.34661627918715
82,-221.6841647255859,-221.35073272365543
83,-167.35771986651798,-220.700214496461
84,-383.49630606305146,-222.63826320558707
85,-223.2397901429502,-222.64533999308546
86,-320.21079052934385,-223.77982197606522
87,-224.58133209548114,-223.7890347360585
88,-169.90883460679896,-223.17675973458964
89,-343.5658736455441,-224.52944640774643
90,-263.5219954365458,-224.96269695251087
91,-167.74061287037296,-224.33388284171815
92,-119.74740442882218,-223.19707329375188
93,-332.5797211056339,-224.37323079710546
94,-291.0369903221673,-225.08241972822316
95,-198.39018550189223,-224.8014488416302
96,-319.7874142061337,-225.79088598084377
97,-305.0503214478123,-226.60799356297747
98,-369.3092546053063,-228.0641288797359
99,-192.85325647164336,-227.7084635018764
100,-248.81316268329022,-227.91951049369055
101,-262.4947849861046,-227.9337043474965
102,-280.09298212524016,-227.78738760167585
103,-263.56995815246705,-227.27747141936027
104,-247.67317291888915,-228.67358267328058
105,-162.2992321846006,-227.24264806104927
106,-224.94406470902004,-228.54275084671855
107,-268.7179347420263,-229.60656231020468
108,1.154420105053731,-228.20420039325697
109,-320.24155796751205,-230.34566765451567
110,-235.91682247605272,-231.43939704337274
111,-328.32476181318356,-233.1061338089008
112,-288.23532062331526,-232.95569853406425
113,-268.24199924514187,-232.31600222969377
114,-273.0032201424159,-233.71891751055458
115,-183.85269708298887,-234.03284939007824
116,-256.9547797485096,-235.4799676941149
117,-131.39088116557892,-235.10480224721437
118,-142.30865843692004,-234.39329296757546
119,-333.39195005894715,-236.60086925240049
120,-264.4157022820483,-237.28498086430062
121,-211.98324269800827,-235.7372148334402
122,-115.96406646883693,-234.966668484044
123,-240.9523518946153,-233.4872201178541
124,-286.1918717985003,-234.11317669991308
125,-264.309191781188,-235.73753004015077
126,-224.4445571533368,-234.0397115353858
127,-257.2287666858187,-234.1998777346906
128,-277.1691395274514,-235.38591796229
129,-276.1271378038288,-236.0657762762082
130,-251.6969456270596,-237.8058139256384
131,-64.93965132953085,-237.61918072097717
132,-290.6660278170047,-238.86017745610974
133,-155.10672987745235,-236.75552669126765
134,-259.43121872892215,-236.35744341645167
135,-195.24961233862427,-234.73593818069224
136,-250.01477639060377,-234.63121121904413
137,-108.39922252042668,-233.17196517555058
138,-261.8290052694933,-233.71980215934258
139,-289.1328057772613,-236.3321357944867
140,-204.0059282456109,-235.8914861779901
141,-231.62931555672475,-235.66562223424705
142,-254.89601864528933,-237.99803219624388
143,-246.1449169896989,-238.96306845920563
144,-199.84011836326684,-237.99311146484044
145,-230.20733479545123,-237.7716688157334
146,-301.45344163417735,-240.47140659217516
147,-236.33307841119154,-240.30895437534517
148,-214.76276728354978,-239.4140288202433
149,-259.2113487211597,-239.28200868634656
150,-215.58859577427475,-238.19721256364167
151,-242.02272846188686,-237.8914087658296
152,-145.23368942312916,-237.46684759410527
153,-96.71616651468082,-236.6017620165311
154,-169.23519615014362,-235.7485245505139
155,-232.6519304244503,-235.40626820387047
156,-225.473577894645,-234.38293002633324
157,-201.16610423112877,-234.27070703231777
158,-235.36843182416771,-234.91386262533368
159,-213.25934277102368,-234.40367366954587
160,-228.44722166248098,-234.71121881227694
161,-53.74873198572844,-232.82781687668725
162,-145.68633625897863,-230.0629223448228
163,-184.04343623477916,-228.43684305629606
164,-332.00511612539094,-229.8850217804776
165,-235.53175334468054,-229.71877339374547
166,-210.90632616476506,-230.08084226365114
167,-197.6895323971163,-228.94709496429067
168,-192.90175239346212,-228.65866315019008
169,-241.77623175305297,-227.4684124541987
170,-131.3926614864572,-226.92677114312272
171,-52.315782090404326,-225.12668487770432
172,-233.56077703946102,-226.40012747187234
173,-238.27992413327615,-226.73602895070093
174,-185.62873110941337,-227.06165951697295
175,-294.9516641090622,-228.71431999430348
176,-222.41772325782375,-227.40004030157806
177,-328.2564976906508,-228.36622691862158
178,-190.92122394514604,-227.49983084214054
179,-205.59301506663778,-227.47991316459434
180,-15.382186556415135,-225.64508380689327
181,-210.97128222043062,-225.66235452140035
182,-173.90622541079068,-225.1845751282524
183,-236.4611233594629,-225.8756091631818
184,-255.64170737616786,-224.597063176313
185,-251.79070628487153,-224.8825723377322
186,-153.71684822097268,-223.2176329146485
187,-201.91789458531144,-222.99099853954678
188,-192.57900516451997,-223.21770024512395
189,-323.5731174903323,-223.01777268357193
190,-154.39399183942305,-221.92649264760067
191,-209.0496148421668,-222.33958266731858
192,-222.479809826758,-223.36690672129794
193,-186.38443235360307,-221.90495383377763
194,-362.8299297951527,-222.62288322850745
195,-449.3572700021563,-225.1325540735101
196,-408.1108855169066,-226.0157887866179
197,-306.1788153683324,-226.02707372582307
198,-180.1492345062905,-224.13547352483292
199,-157.03414556221844,-223.77728241573865
200,-200.53500898910752,-223.29450087879684
201,-158.00070465566034,-222.24956007549233
202,-252.26603072872996,-221.97129056152724
203,-211.65783459757682,-221.45216932597833
204,-219.40357894282226,-221.16947338621765
205,-235.11547642735667,-221.8976358286452
206,-207.73229438997072,-221.72551812545476
207,-250.8148716448327,-221.54648749448282
208,-190.7928502918441,-223.4659601984518
209,-198.78374326456225,-222.2513820514223
210,-213.87564403871153,-222.03097026704887
211,-220.0339316445584,-220.94806196536263
212,-112.73706425169307,-219.1930794016464
213,-223.17614112978083,-218.7424208204928
214,-31.18836929566811,-216.3242723120253
215,-181.2248814087129,-216.29799415528257
216,-162.02440441867506,-215.34869040198424
217,-360.8816866031926,-217.64359845636037
218,-267.05493090059656,-218.89106118099716
219,-222.06497416278086,-217.7777914220355
220,-149.26133808632125,-216.62624778007822
221,-211.87016674342937,-216.62511702053243
222,-213.68022120719803,-217.60227856791607
223,-278.9646204648818,-217.9824012536187
224,-249.37602468729415,-217.61424278250664
225,-253.30429066553626,-217.50419377135012
226,-212.2832301422761,-217.3825805012395
227,-128.85688458994977,-216.09886168028083
228,-203.00715587252387,-215.3572418437315
229,-100.78346786816569,-213.6038051443749
230,-199.36714775638134,-213.0805071656681
231,-231.08605291752139,-214.74197118154802
232,-182.39638146773115,-213.65927471805523
233,-176.4239141203031,-213.8724465604838
234,-169.16831058114204,-212.96981747900602
235,-185.45763633764153,-212.87189771899614
236,-223.5883784842058,-212.60763373993217
237,-185.37155647337354,-213.37735707946166
238,-242.21797976668856,-213.18124682443354
239,-208.98967121438108,-212.37981547880477
240,-176.8810720430616,-212.1085669167793
241,-235.57692667686257,-212.14804302798072
242,-320.9942479105586,-212.8090253206334
243,-257.51727126362266,-212.92274886337265
244,-324.71400450727816,-214.17148772481275
245,-448.04391485370684,-216.3498535253953
246,-211.02044980505158,-215.44552360710404
247,-199.04062766499092,-215.07259909964202
248,-176.22094715177917,-214.68718089832433
249,-190.64376645405596,-214.00150507565328
250,-241.33763251781596,-214.25899544308868
251,-210.7264962729817,-213.9460331211996
252,-203.6796341255086,-214.53049256822345
253,-213.8182917165634,-215.7015138202423
254,-213.28197009822668,-216.1419815597231
255,-227.6232726335171,-216.09169498181382
256,-210.06666627356142,-215.93762586560294
257,-183.6053189905362,-215.76201801319698
258,-239.43292025849823,-215.80266289754033
259,-211.44840415776696,-215.78455351140772
260,-142.42735660483277,-214.92435486083127
261,-206.2933345837643,-216.44980088681157
262,-278.4673361105506,-217.7776108853273
263,-271.7039292625734,-218.65421581560523
264,-277.31094877433907,-218.10727414209475
265,-236.98245880522316,-218.12178119670017
266,-137.0563596643765,-217.38328153169627
267,-157.77223286380362,-216.98410853636315
268,-262.1220163423742,-217.67631117585228
269,-298.72053433615525,-218.24575420168333
270,-279.447062140145,-219.72629820822024
271,-279.995573132797,-222.00309611864412
272,-213.40207488946263,-221.80150909714416
273,-193.2167328876468,-221.35087718468785
274,-213.0256995877274,-221.62484686947096
275,-212.80975165347576,-220.8034277449151
276,-258.87885571612094,-221.1680390694981
277,-195.70676142870786,-219.8425417068787
278,-231.1421956835441,-220.24475142426266
279,-116.81477768520935,-219.35696905044836
280,-321.30496787172297,-222.41619686360144
281,-205.53769472631697,-222.3618609886603
282,-220.5540692508874,-222.82833942706122
283,-215.55405880461026,-222.61926878151272
284,-215.6567109434424,-222.21941881718547
285,-148.22186784208805,-221.1837304327576
286,-229.81695704276305,-221.94473152097555
287,-212.73726742169345,-222.05292524933935
288,-200.7544334353003,-222.13467953204716
