Episode,Score,Average_Score
1,-343.7251005689651,-343.7251005689651
2,-16.556494452186328,-180.1407975105757
3,-256.6701663912839,-205.65058713747842
4,-203.87019322462444,-205.20548865926494
5,-366.57204663224707,-237.47880025386138
6,-498.58531482043907,-280.99655268162434
7,-122.88089162312473,-258.40860110183866
8,-95.08715785421151,-237.99342069588525
9,-82.59875525891249,-220.72734675844382
10,-151.0947409562434,-213.7640861782238
11,-241.64042790074905,-216.29829906208977
12,-125.77976223917064,-208.75508766017984
13,-331.7689934597655,-218.21769579860953
14,-73.2557598644428,-207.8632718033119
15,-322.2734870315612,-215.4906194851952
16,-33.77382250497779,-204.13331967393157
17,-86.02031683441331,-197.18549597748932
18,-136.25565290087883,-193.8005046954554
19,-122.80051164109895,-190.06366295575245
20,-121.8205390242837,-186.651506759179
21,-114.89663467141874,-183.2346080883333
22,-308.59866633266904,-188.9329743721667
23,-181.78904660123612,-188.62236881690885
24,-117.51824066776348,-185.6596968106945
25,-109.07705374446475,-182.59639108804532
26,-196.15914481245147,-183.11803546206096
27,-183.0934255752887,-183.1171239847731
28,-131.9693866534895,-181.2904190800844
29,-141.5088415407405,-179.91864054424497
30,-111.0896050308596,-177.62433936046546
31,-103.75126276094731,-175.24133688951326
32,-88.61285846486035,-172.53419693874278
33,-326.82845956488677,-177.20978065468654
34,-113.45559911347877,-175.3346576681804
35,-94.36102080849544,-173.02112518647513
36,-369.4441832922031,-178.47732124496758
37,-82.50549390058032,-175.88348807349766
38,-146.99195426146557,-175.12318455212838
39,-58.48568853259371,-172.13247952598644
40,-118.54325837318225,-170.79274899716637
41,-179.79312982926302,-171.01227048087605
42,-102.57651387904515,-169.382847704642
43,-160.93391430407468,-169.18636088137296
44,-179.2905608425056,-169.41600178958052
45,-267.14857012969185,-171.58783664158298
46,-231.3479482279049,-172.8869695021552
47,-224.04430530894973,-173.97542345549127
48,-224.1379589623127,-175.02047627855006
49,-107.9233844185273,-173.65114787324347
50,-58.82621189202697,-171.35464915361914
51,-279.85489065083846,-173.4821048692509
52,-311.5672949826137,-176.13758929450785
53,-203.14830662636632,-176.64722547058065
54,-358.8317877699897,-180.02101366131046
55,-253.65361871884633,-181.35978829872022
56,-324.96364679315457,-183.92414291469225
